no,Wamei,Family_JPN,新リスト学名,Species,APG.family,Class,group,Growthform,EveDec,ALT,Canopy openess,total LA,no of leaves (leaflet),LA mean (leaf let),Scanned leaf DW,Lamina DW,petiole DW,Lamina thickness,Whole leaf LMA,LDMC,LD LMA,TD
100,コバノクロヅル,ニシキギ,Tripterygium doianum Ohwi,Tripterygium_doianum,Celastraceae,sp,angiosperm,W,D,1596,50,125.535,6,20.9225,0.7803,0.7174,0.0629,0.2315,62.15796391,0.260708319,59.20563883,0.2557479
,,,,,,,,,,,,,,,,,,,,,,
101,ハイノキ,ハイノキ,Symplocos myrtacea Siebold et Zucc.,Symplocos_myrtacea,Symplocaceae,sp,angiosperm,W,E,1596,80,40.864,15,2.7242667,0.2563,0.2431,0.0132,0.3065,62.72024276,0.273240938,100.585924,0.328175935
,,,,,,,,,,,,,,,,,,,,,,
102,ヒメシャラ,ツバキ,Stewartia monadelpha Siebold et Zucc.,Stewartia_monadelpha,Theaceae,sp,angiosperm,W,D,1606,100,89.826,8,11.22825,0.8077,0.7689,0.0388,0.2915,89.91828646,0.318870904,91.03662745,0.312304039
,,,,,,,,,,,,,,,,,,,,,,
103,ヒメヒサカキ,ツバキ,Eurya yakushimensis (Makino) Makino,Eurya_yakushimensis,Theaceae,sp,angiosperm,W,E,1626,50,14.644,16,0.91525,0.1876,0.1806,0.007,0.5295,128.1070746,0.368565815,,
,,,,,,,,,,,,,,,,,,,,,,
104,ヤクシマグミ,グミ,Elaeagnus yakusimensis Masam.,Elaeagnus_yakusimensis,Elaeagnaceae,sp,angiosperm,W,D,1626,80,45.926,8,5.74075,0.3108,0.2892,0.0216,0.2845,67.6740844,0.352380952,65.57183655,0.230480972
,,,,,,,,,,,,,,,,,,,,,,
105,イソノキ,クロウメモドキ,Rhamnus crenata Siebold et Zucc.,Frangula_crenata,Rhamnaceae,sp,angiosperm,W,D,1521,80,113.475,8,14.184375,0.6264,0.5919,0.0345,0.2155,55.20158625,0.272111208,50.29296202,0.233378014
,,,,,,,,,,,,,,,,,,,,,,
106,ヤシャブシ,カバノキ,Alnus firma Siebold et Zucc.,Alnus_firma,Betulaceae,sp,angiosperm,W,D,1521,80,139.374,8,17.42175,1.5061,1.423,0.0831,0.2245,108.0617619,0.417202216,93.58310654,0.416851254
,,,,,,,,,,,,,,,,,,,,,,
107,ヒメカカラ,ユリ,Smilax biflora Siebold ex Miq.,Smilax_biflora,Smilacaceae,sp,angiosperm,W,E,1525,60,4.792,14,0.342285714,0.021,0.0198,0.0012,0.178,43.8230384,0.340356564,,
,,,,,,,,,,,,,,,,,,,,,,
108,ユズリハ,ユズリハ,Daphniphyllum macropodum Miq.,Daphniphyllum_macropodum,Daphniphyllaceae,sp,angiosperm,W,E,1471,100,249.435,5,49.887,3.7023,3.2028,0.4995,0.4605,148.427446,0.322528095,131.7802929,0.286167846
,,,,,,,,,,,,,,,,,,,,,,
109,ヒノキ,ヒノキ,Chamaecyparis obtusa (Siebold et Zucc.) Endl.,Chamaecyparis_obtusa,Cupressaceae,sp,gymnosperm,W,E,1454,100,27.226,12,2.268833333,0.5594,0.5594,0,1.273,205.465364,0.333174509,,
,,,,,,,,,,,,,,,,,,,,,,
110,ハリギリ,ウコギ,Kalopanax septemlobus (Thunb.) Koidz.,Kalopanax_septemlobus,Araliaceae,sp,angiosperm,W,D,1384,100,191.241,3,63.747,1.8615,1.5545,0.307,0.2825,97.33791394,0.332232732,88.49014836,0.313239463
,,,,,,,,,,,,,,,,,,,,,,
111,コハウチワカエデ,カエデ,Acer sieboldianum Miq.,Acer_sieboldianum,Sapindaceae,sp,angiosperm,W,D,1224,70,223.421,6,37.23683333,1.643,1.385,0.258,0.194,73.53829765,0.364624945,60.47887837,0.311746796
,,,,,,,,,,,,,,,,,,,,,,
112,イヌガシ,クスノキ,Neolitsea aciculata (Blume) Koidz.,Neolitsea_aciculata,Lauraceae,sp,angiosperm,W,E,239,100,98.564,10,9.8564,1.7242,,,0.389,174.9320239,0.510420367,155.3352245,0.399319343
,,,,,,,,,,,,,,,,,,,,,,
113,クロキ,ハイノキ,Symplocos kuroki Nagam.,Symplocos_kuroki,Symplocaceae,sp,angiosperm,W,E,239,100,87.115,11,7.919545455,1.5398,,,0.5275,176.7548643,0.46005378,208.1746656,0.394643916
,,,,,,,,,,,,,,,,,,,,,,
114,ホルトカズラ,ヒルガオ,Erycibe henryi Prain,Erycibe_henryi,Convolvulaceae,sp,angiosperm,W,E,193,35,287.627,6,47.93783333,1.5555,,,0.261,54.08045837,0.240789474,49.65634224,0.190254185
,,,,,,,,,,,,,,,,,,,,,,
115,バリバリノキ,クスノキ,Litsea acuminata (Blume) Sa.Kurata,Actinodaphne_acuminata,Lauraceae,sp,angiosperm,W,E,193,100,164.965,7,23.56642857,1.7463,,,0.3155,105.8588185,0.487793296,96.7662054,0.306707466
,,,,,,,,,,,,,,,,,,,,,,
116,ヤブツバキ,ツバキ,Camellia japonica L.,Camellia_japonica,Theaceae,sp,angiosperm,W,E,193,60,86.939,9,9.659888889,1.6693,,,0.4415,192.0081897,0.471553672,165.5211408,0.374906321
,,,,,,,,,,,,,,,,,,,,,,
117,サネカズラ,マツブサ,Kadsura japonica (L.) Dunal,Kadsura_japonica,Schisandraceae,sp,angiosperm,W,E,193,5,128.4227,7,18.3461,0.7277,,,0.3675,56.66443705,0.168839907,47.10986316,0.128190104
,,,,,,,,,,,,,,,,,,,,,,
118,サクラツツジ,ツツジ,Rhododendron tashiroi Maxim.,Rhododendron_tashiroi,Ericaceae,sp,angiosperm,W,E,1658,100,58.934,14,4.209571429,0.7432,,,0.3735,126.1071707,0.424685714,124.1408556,0.332371769
,,,,,,,,,,,,,,,,,,,,,,
121,ヒメヒサカキ,ツバキ,Eurya yakushimensis (Makino) Makino,Eurya_yakushimensis,Theaceae,sp,angiosperm,W,E,1658,100,20.909,21,0.995666667,0.3104,,,0.5285,148.4528194,0.456470588,,
,,,,,,,,,,,,,,,,,,,,,,
124,タンナサワフタギ,ハイノキ,Symplocos coreana (H.Lév.) Ohwi,Symplocos_coreana,Symplocaceae,sp,angiosperm,W,D,1658,100,65.897,12,5.491416667,0.4259,,,0.3815,64.63116682,0.285838926,62.38873769,0.163535354
,,,,,,,,,,,,,,,,,,,,,,
125,ユズリハ,ユズリハ,Daphniphyllum macropodum Miq.,Daphniphyllum_macropodum,Daphniphyllaceae,sp,angiosperm,W,E,1658,100,216.055,8,27.006875,3.65,3.1785,0.4715,0.551,168.9384647,0.342723005,141.3295895,0.256496533
,,,,,,,,,,,,,,,,,,,,,,
126,シキミ,シキミ,Illicium anisatum L.,Illicium_anisatum,Schisandraceae,sp,angiosperm,W,E,1658,100,91.463,9,10.16255556,1.1343,,,0.382,124.0173622,0.331666667,86.58028904,0.226649971
,,,,,,,,,,,,,,,,,,,,,,
127,ヒメヒサカキ,ツバキ,Eurya yakushimensis (Makino) Makino,Eurya_yakushimensis,Theaceae,sp,angiosperm,W,E,1658,100,197.8472727,20,9.892363636,0.3249,,,0.418,16.42175783,0.4275,,
,,,,,,,,,,,,,,,,,,,,,,
128,ヤマボウシ,ミズキ,Cornus kousa Buerger ex Hance,Cornus_kousa,Cornaceae,sp,angiosperm,W,D,1658,100,120.022,11,10.91109091,0.8371,,,0.225,69.74554665,0.298964286,57.29577951,0.254647909
,,,,,,,,,,,,,,,,,,,,,,
129,ヤマグルマ,ヤマグルマ,Trochodendron aralioides Siebold et Zucc.,Trochodendron_aralioides,Trochodendraceae,sp,angiosperm,W,E,1658,100,107.346,11,9.758727273,1.4673,,,0.357,136.688838,0.418034188,119.6845172,0.335250748
,,,,,,,,,,,,,,,,,,,,,,
130,ミヤマビャクシン,ヒノキ,Sabina chinensis (L.) Antoine  var. sargentii (A.Henry) W.C.Cheng et L.K.Fu,Juniperus_chinensis_var_sargentii,Cupressaceae,var,gymnosperm,W,E,1658,100,13.373,,0.581434783,0.4132,,,1.193,308.9807822,0.405098039,,
,,,,,,,,,,,,,,,,,,,,,,
131,サクラツツジ,ツツジ,Rhododendron tashiroi Maxim.,Rhododendron_tashiroi,Ericaceae,sp,angiosperm,W,E,1658,100,30.676,11,2.788727273,0.4466,,,0.4085,145.586126,0.429423077,125.4140952,0.307011249
,,,,,,,,,,,,,,,,,,,,,,
132,ハイノキ,ハイノキ,Symplocos myrtacea Siebold et Zucc.,Symplocos_myrtacea,Symplocaceae,sp,angiosperm,W,E,1658,100,40.419,8,5.052375,0.3413,,,0.2555,84.44048591,0.344747475,68.75493542,0.269099552
,,,,,,,,,,,,,,,,,,,,,,
133,ヤクシマシャクナゲ,ツツジ,Rhododendron yakushimanum Nakai,Rhododendron_yakusimanum,Ericaceae,sp,angiosperm,W,E,1658,100,94.083,10,9.4083,2.6551,,,0.637,282.2082629,0.424816,220.2704412,0.345793471
,,,,,,,,,,,,,,,,,,,,,,
135,スギ,ヒノキ,Cryptomeria japonica (L.f.) D.Don  var. japonica,Cryptomeria_japonica,Cupressaceae,sp,gymnosperm,W,E,1654,100,15.313,,0.072231132,0.3009,,,1.07,196.4997061,0.436086957,,
,,,,,,,,,,,,,,,,,,,,,,
136,ヤクシマグミ,グミ,Elaeagnus yakusimensis Masam.,Elaeagnus_yakusimensis,Elaeagnaceae,sp,angiosperm,W,D,1648,100,80.977,17,4.763352941,0.7151,,,0.3,88.30902602,0.397277778,85.94366927,0.286478898
,,,,,,,,,,,,,,,,,,,,,,
137,リョウブ,リョウブ,Clethra barbinervis Siebold et Zucc.,Clethra_barbinervis,Clethraceae,sp,angiosperm,W,D,1648,100,110.082,10,11.0082,0.7687,,,0.2815,69.82976327,0.305039683,68.11831564,0.241983359
,,,,,,,,,,,,,,,,,,,,,,
138,ハイノキ,ハイノキ,Symplocos myrtacea Siebold et Zucc.,Symplocos_myrtacea,Symplocaceae,sp,angiosperm,W,E,1649,70,39.213,12,3.26775,0.3248,,,0.551,82.82967383,0.3248,64.93521678,0.117849758
,,,,,,,,,,,,,,,,,,,,,,
139,ナナカマド,バラ,Sorbus commixta Hedl.,Sorbus_commixta,Rosaceae,sp,angiosperm,W,D,1649,100,77.782,17,4.575411765,0.6518,,,0.2175,83.79830809,0.431655629,87.85352859,0.403924269
,,,,,,,,,,,,,,,,,,,,,,
140,ツルアジサイ,ユキノシタ,Hydrangea petiolaris Siebold et Zucc.,"Hydrangea_petiolaris ",Hydrangeaceae,sp,angiosperm,W,D,1651,100,122.94,10,12.294,0.6691,,,0.3215,54.42492273,0.228361775,39.47042589,0.122769598
,,,,,,,,,,,,,,,,,,,,,,
141,ヤマグルマ,ヤマグルマ,Trochodendron aralioides Siebold et Zucc.,Trochodendron_aralioides,Trochodendraceae,sp,angiosperm,W,E,1651,100,124.468,11,11.31527273,1.6565,,,0.392,133.0864158,0.386130536,111.4084602,0.284205256
,,,,,,,,,,,,,,,,,,,,,,
142,スギ,ヒノキ,Cryptomeria japonica (L.f.) D.Don  var. japonica,Cryptomeria_japonica,Cupressaceae,sp,gymnosperm,W,E,1651,100,2.922,,0.027308411,0.0589,,,,201.5742642,0.535454545,,
,,,,,,,,,,,,,,,,,,,,,,
143,ハリギリ,ウコギ,Kalopanax septemlobus (Thunb.) Koidz.,Kalopanax_septemlobus,Araliaceae,sp,angiosperm,W,D,1651,100,183.926,4,45.9815,1.9229,1.6467,0.2762,0.2815,104.5474811,0.358081937,95.49296586,0.339229008
,,,,,,,,,,,,,,,,,,,,,,
144,ヤクシマシャクナゲ,ツツジ,Rhododendron yakushimanum Nakai,Rhododendron_yakusimanum,Ericaceae,sp,angiosperm,W,E,1650,100,113.192,11,9.432666667,2.5738,,,0.5935,227.3835607,0.409840764,220.2704412,0.371138064
,,,,,,,,,,,,,,,,,,,,,,
145,アセビ,ツツジ,Pieris japonica (Thunb.) D.Don ex G.Don,Pieris_japonica,Ericaceae,sp,angiosperm,W,E,1650,80,53.737,13,3.838357143,0.8931,,,0.4625,166.1983363,0.442128713,177.6169165,0.384036576
,,,,,,,,,,,,,,,,,,,,,,
146,エゴノキ,エゴノキ,Styrax japonica Siebold et Zucc.,Styrax_ japonica,Styracaceae,sp,angiosperm,W,D,830,100,113.924,11,9.493666667,0.9676,,,0.244,84.93381553,0.439818182,87.85352859,0.360055445
,,,,,,,,,,,,,,,,,,,,,,
147,ウラジロガシ,ブナ,Quercus salicina Blume,Quercus_salicina,Fagaceae,sp,angiosperm,W,E,830,100,117.734,9,13.08155556,1.8467,,,0.437,156.8535852,0.465163728,152.1521256,0.3481742
,,,,,,,,,,,,,,,,,,,,,,
148,アカガシ,ブナ,Quercus acuta Thunb.,Quercus_acuta,Fagaceae,sp,angiosperm,W,E,830,100,163.925,7,23.41785714,2.8201,,,0.3955,172.0359921,0.47182533,152.1521256,0.384708282
,,,,,,,,,,,,,,,,,,,,,,
149,ヤブツバキ,ツバキ,Camellia japonica L.,Camellia_japonica,Theaceae,sp,angiosperm,W,E,843,80,79.441,8,9.930125,1.3076,,,0.443,164.6001435,0.431266491,158.5183233,0.357829172
,,,,,,,,,,,,,,,,,,,,,,
151,クロバイ,ハイノキ,Symplocos prunifolia Siebold et Zucc.,Symplocos_prunifolia,Symplocaceae,sp,angiosperm,W,E,843,100,73.997,12,5.692076923,1.2154,,,0.3565,164.249902,0.448652639,154.6986047,0.43393718
,,,,,,,,,,,,,,,,,,,,,,
153,カクレミノ,ウコギ,Dendropanax trifidus (Thunb.) Makino ex H.Hara,Dendropanax_trifidus,Araliaceae,sp,angiosperm,W,E,848,80,207.732,6,34.622,2.6593,2.2093,0.45,0.304,128.0159051,0.361809524,90.40000768,0.297368446
,,,,,,,,,,,,,,,,,,,,,,
154,アカガシ,ブナ,Quercus acuta Thunb.,Quercus_acuta,Fagaceae,sp,angiosperm,W,E,848,100,138.569,8,17.321125,2.0473,,,0.356,147.7458883,0.521871017,133.0535324,0.373745878
,,,,,,,,,,,,,,,,,,,,,,
156,ヤマモモ,ヤマモモ,Myrica rubra Siebold et Zucc.,Myrica_rubra,Primulaceae,sp,angiosperm,W,E,850,60,121.2,10,12.12,1.7005,,,0.28,140.3052805,0.502215003,128.597194,0.459275693
,,,,,,,,,,,,,,,,,,,,,,
157,マテバシイ,ブナ,Lithocarpus edulis (Makino) Nakai,Lithocarpus_edulis,Fagaceae,sp,angiosperm,W,E,850,100,132.837,10,13.2837,2.0718,,,0.4245,155.9655819,0.462352154,145.1493081,0.341930054
,,,,,,,,,,,,,,,,,,,,,,
159,ヤクシマオナガカエデ,カエデ,Acer morifolium Koidz.,Acer_morifolium,Sapindaceae,sp,angiosperm,W,D,851,100,244.674,5,48.9348,1.7332,1.5883,0.1449,0.2355,70.83711387,0.325178236,71.93803428,0.30546936
,,,,,,,,,,,,,,,,,,,,,,
160,イスノキ,マンサク,Distylium racemosum Siebold et Zucc.,Distylium_racemosum,Hamamelidaceae,sp,angiosperm,W,E,852,60,53.87,12,4.489166667,1.1611,,,0.537,215.5374049,0.556882494,272.4732626,0.507398999
,,,,,,,,,,,,,,,,,,,,,,
161,ハリギリ,ウコギ,Kalopanax septemlobus (Thunb.) Koidz.,Kalopanax_septemlobus,Araliaceae,sp,angiosperm,W,D,852,70,473.883,4,118.47075,4.5849,3.4054,1.1795,0.2325,96.75172986,0.354319938,61.75211792,0.265600507
,,,,,,,,,,,,,,,,,,,,,,
162,オオバヤドリギ,ヤドリギ,Scurrula yadoriki (Siebold ex Maxim.) Danser,Scurrula_yadoriki,Loranthaceae,sp,angiosperm,W,E,851,100,49.04,10,4.904,1.0962,,,0.428,223.5318108,0.576037835,203.7183272,0.4759774
,,,,,,,,,,,,,,,,,,,,,,
166,バリバリノキ,クスノキ,Litsea acuminata (Blume) Sa.Kurata,Actinodaphne_acuminata,Lauraceae,sp,angiosperm,W,E,836,100,132.338,5,26.4676,1.6203,,,0.365,122.4364884,0.472390671,96.12958563,0.263368728
,,,,,,,,,,,,,,,,,,,,,,
167,イヌガシ,クスノキ,Neolitsea aciculata (Blume) Koidz.,Neolitsea_aciculata,Lauraceae,sp,angiosperm,W,E,836,80,134.885,7,19.26928571,1.605,,,0.247,118.990251,0.487101669,105.6788822,0.427849726
,,,,,,,,,,,,,,,,,,,,,,
168,ヤクシマカラスザンショウ,ミカン,Zanthoxylum yakumontanum (Sugim.) Nagam.,Zanthoxylum_yakumontanum,Rutaceae,sp,angiosperm,W,D,845,80,253.038,6,42.173,1.6626,,,0.1925,65.7055462,0.380022857,65.57183655,0.340632917
,,,,,,,,,,,,,,,,,,,,,,
169,ヤクシマカラスザンショウ,ミカン,Zanthoxylum yakumontanum (Sugim.) Nagam.,Zanthoxylum_yakumontanum,Rutaceae,sp,angiosperm,W,D,845,100,228.439,9,25.38211111,1.9299,,,0.3495,84.4820718,0.360728972,76.39437268,0.218581896
,,,,,,,,,,,,,,,,,,,,,,
170,ヤマザクラ,バラ,Prunus jamasakura Siebold ex Koidz.　,Prunus_jamasakura,Rosaceae,sp,angiosperm,W,D,845,100,211.029,5,42.2058,2.355,,,0.2275,111.5960366,0.48757764,105.6788822,0.464522559
,,,,,,,,,,,,,,,,,,,,,,
172,イヌガシ,クスノキ,Neolitsea aciculata (Blume) Koidz.,Neolitsea_aciculata,Lauraceae,sp,angiosperm,W,E,835,100,85.712,10,8.5712,1.0752,,,0.2895,125.4433452,0.537331334,131.1436731,0.453000598
,,,,,,,,,,,,,,,,,,,,,,
173,ヒメシャラ,ツバキ,Stewartia monadelpha Siebold et Zucc.,Stewartia_monadelpha,Theaceae,sp,angiosperm,W,D,835,100,186.636,8,23.3295,1.8228,,,0.296,97.66604514,0.348527725,94.85634608,0.320460629
,,,,,,,,,,,,,,,,,,,,,,
174,ヒロハノミミズバイ,ハイノキ,Symplocos tanakae Matsum.,Symplocos_tanakae,Symplocaceae,sp,angiosperm,W,E,826,70,137.321,10,13.7321,2.1315,,,0.4405,155.2202504,0.393265683,136.2366313,0.309277256
,,,,,,,,,,,,,,,,,,,,,,
175,ヤクシマオナガカエデ,カエデ,Acer morifolium Koidz.,Acer_morifolium,Sapindaceae,sp,angiosperm,W,D,826,100,275.411,4,68.85275,2.6287,2.3492,0.2795,0.2115,95.44644186,0.382634643,85.94366927,0.406353046
,,,,,,,,,,,,,,,,,,,,,,
176,エビヅル,ブドウ,Vitis ficifolia Bunge,Vitis_ficifolia,Vitaceae,sp,angiosperm,W,D,826,70,260.855,3,86.95166667,1.3987,,,0.213,53.61982711,0.272651072,43.29014452,0.203240115
,,,,,,,,,,,,,,,,,,,,,,
177,スダジイ,ブナ,Castanopsis sieboldii (Makino) Hatus. ex T.Yamaz. et Mashiba,Castanopsis_sieboldii,Fagaceae,sp,angiosperm,W,E,798,100,85.872,10,8.5872,1.3253,,,0.3425,154.3343581,0.526121477,151.5155058,0.442381039
,,,,,,,,,,,,,,,,,,,,,,
180,イワガラミ,ユキノシタ,Schizophragma hydrangeoides Siebold et Zucc.,Schizophragma_hydrangeoides,Hydrangeaceae,sp,angiosperm,W,D,790,30,158.258,3,52.75266667,0.7524,,,0.264,47.54262028,0.296220472,46.47324338,0.176035013
,,,,,,,,,,,,,,,,,,,,,,
184,ヒメユズリハ,ユズリハ,Daphniphyllum teijsmannii Zoll. ex Kurz,Daphniphyllum_teijsmannii,Daphniphyllaceae,sp,angiosperm,W,E,96,100,134.31,9,14.92333333,2.2798,,,0.442,169.7416425,0.364534698,126.6873347,0.286622929
,,,,,,,,,,,,,,,,,,,,,,
185,イヌビワ,クワ,Ficus erecta Thunb.,Ficus_erecta,Moraceae,sp,angiosperm,W,D,101,100,189.069,6,31.5115,1.878,,,0.398,99.32881646,0.315365239,91.67324722,0.230334792
,,,,,,,,,,,,,,,,,,,,,,
187,ハマヒサカキ,ツバキ,Eurya emarginata (Thunb.) Makino,Eurya_emarginata,Theaceae,sp,angiosperm,W,E,101,100,64.238,18,3.568777778,1.0565,,,0.6285,164.4665151,0.35500672,145.1493081,0.230945598
,,,,,,,,,,,,,,,,,,,,,,
188,シャリンバイ,バラ,Rhaphiolepis indica (L.) Lindl. ex Ker  var. umbellata (Thunb.) H.Ohashi,Rhaphiolepis_indica_var_umbellata,Rosaceae,var,angiosperm,W,E,101,100,112.115,12,9.342916667,2.1353,,,0.5625,190.456228,0.405103396,174.4338176,0.310104565
,,,,,,,,,,,,,,,,,,,,,,
189,クロガネモチ,モチノキ,Ilex rotunda Thunb.,Ilex_rotunda,Aquifoliaceae,sp,angiosperm,W,E,106,100,107.089,8,13.386125,1.3521,,,0.3605,126.2594664,0.352109375,109.4986008,0.303740918
,,,,,,,,,,,,,,,,,,,,,,
191,ゴンズイ,ミツバウツギ,Euscaphis japonica (Thunb.) Kanitz,Euscaphis_japonica,Staphyleaceae,sp,angiosperm,W,D,106,100,176.199,8,22.024875,1.6366,,,0.236,92.88361455,0.393602694,77.03099246,0.32640251
,,,,,,,,,,,,,,,,,,,,,,
192,ヤマモモ,ヤマモモ,Myrica rubra Siebold et Zucc.,Myrica_rubra,Primulaceae,sp,angiosperm,W,E,107,100,108.954,10,10.8954,1.3802,,,0.2955,126.6773134,0.428500466,110.1352206,0.372708022
,,,,,,,,,,,,,,,,,,,,,,
193,ヒメユズリハ,ユズリハ,Daphniphyllum teijsmannii Zoll. ex Kurz,Daphniphyllum_teijsmannii,Daphniphyllaceae,sp,angiosperm,W,E,107,100,198.738,6,33.123,3.2365,,,0.5005,162.8525999,0.336224808,116.5014183,0.232770067
,,,,,,,,,,,,,,,,,,,,,,
194,クロキ,ハイノキ,Symplocos kuroki Nagam.,Symplocos_kuroki,Symplocaceae,sp,angiosperm,W,E,112,100,119.315,15,7.954333333,1.8197,,,0.3515,152.5122575,0.413192552,123.5042358,0.351363402
,,,,,,,,,,,,,,,,,,,,,,
195,シロダモ,クスノキ,Neolitsea sericea (Blume) Koidz.,Neolitsea_sericea,Lauraceae,sp,angiosperm,W,E,112,100,176.746,8,22.09325,1.9863,,,0.257,112.3816098,0.422527122,105.0422624,0.408724757
,,,,,,,,,,,,,,,,,,,,,,
196,クスノキ,クスノキ,Cinnamomum camphora (L.) J.Presl,Cinnamomum_camphora,Lauraceae,sp,angiosperm,W,E,112,100,147.996,8,18.4995,1.4658,,,0.243,99.04321738,0.424869565,95.49296586,0.392975168
,,,,,,,,,,,,,,,,,,,,,,
199,クロマツ,マツ,Pinus thunbergii Parl.,Pinus_thunbergii,Pinaceae,sp,gymnosperm,W,E,117,40,23.318,16,1.457375,0.5154,,,0.8705,221.0309632,0.37320782,,
,,,,,,,,,,,,,,,,,,,,,,
200,カンコノキ,トウダイグサ,Glochidion obovatum Siebold et Zucc.,Glochidion_obovatum,Euphorbiaceae,sp,angiosperm,W,D,117,100,94.119,10,9.4119,1.2308,,,0.316,130.7706202,0.408767851,126.0507149,0.398894667
,,,,,,,,,,,,,,,,,,,,,,
201,カンコノキ,トウダイグサ,Glochidion obovatum Siebold et Zucc.,Glochidion_obovatum,Euphorbiaceae,sp,angiosperm,W,D,117,100,100.995,12,8.41625,1.1307,,,0.2725,111.9560374,0.437069965,113.9549393,0.418183263
,,,,,,,,,,,,,,,,,,,,,,
203,シャリンバイ,バラ,Rhaphiolepis indica (L.) Lindl. ex Ker  var. umbellata (Thunb.) H.Ohashi,Rhaphiolepis_indica_var_umbellata,Rosaceae,var,angiosperm,W,E,121,100,113.728,12,9.477333333,2.5047,,,0.499,220.2360017,0.45523446,205.6281865,0.412080534
,,,,,,,,,,,,,,,,,,,,,,
204,ヒサカキ,ツバキ,Eurya japonica Thunb.,Eurya_japonica,Theaceae,sp,angiosperm,W,E,123,100,108.022,15,7.201466667,1.292,,,0.3755,119.6052656,0.361904762,124.1408556,0.33060148
,,,,,,,,,,,,,,,,,,,,,,
205,マテバシイ,ブナ,Lithocarpus edulis (Makino) Nakai,Lithocarpus_edulis,Fagaceae,sp,angiosperm,W,E,123,100,122.476,7,17.49657143,2.1138,,,0.459,172.5889154,0.457730619,144.5126883,0.314842458
,,,,,,,,,,,,,,,,,,,,,,
206,エゴノキ,エゴノキ,Styrax japonica Siebold et Zucc.,Styrax_ japonica,Styracaceae,sp,angiosperm,W,D,130,100,195.341,6,32.55683333,1.605,,,0.2525,82.16401063,0.368119266,72.57465405,0.287424372
,,,,,,,,,,,,,,,,,,,,,,
210,ウバメガシ,ブナ,Quercus phillyraeoides A.Gray,Quercus_phillyraeoides,Fagaceae,sp,angiosperm,W,E,132,80,81.686,12,6.807166667,1.4895,,,0.3905,182.3445878,0.549630996,174.4338176,0.446693515
,,,,,,,,,,,,,,,,,,,,,,
215,センダン,センダン,Melia azedarach L. var. azedarach,Melia_azedarach,Meliaceae,sp,angiosperm,W,D,139,100,109.623,32,3.42571875,0.7397,,,0.1975,67.47671565,0.420284091,80.21409132,0.406147298
,,,,,,,,,,,,,,,,,,,,,,
216,ウバメガシ,ブナ,Quercus phillyraeoides A.Gray,Quercus_phillyraeoides,Fagaceae,sp,angiosperm,W,E,141,100,76.767,18,4.264833333,1.4695,,,0.371,191.4233981,0.533393829,,
,,,,,,,,,,,,,,,,,,,,,,
218,ウラジロガシ,ブナ,Quercus salicina Blume,Quercus_salicina,Fagaceae,sp,angiosperm,W,E,141,100,179.709,6,29.9515,2.1504,,,0.246,119.6601172,0.488727273,111.4084602,0.452879919
,,,,,,,,,,,,,,,,,,,,,,
221,ヤブニッケイ,クスノキ,Cinnamomum tenuifolium (Makino) Sugim. ex H.Hara,Cinnamomum_tenuifolium,Lauraceae,sp,angiosperm,W,E,141,100,103.411,10,10.3411,1.4591,,,0.333,141.0971753,0.472200647,143.2394488,0.430148495
,,,,,,,,,,,,,,,,,,,,,,
222,クチナシ,アカネ,Gardenia jasminoides Ellis,Gardenia_jasminoides,Rubiaceae,sp,angiosperm,W,E,141,30,227.081,6,37.84683333,1.4501,,,0.18,63.85827084,0.351966019,53.47606088,0.297089227
,,,,,,,,,,,,,,,,,,,,,,
224,ヤクシマサルスベリ,ミソハギ,Lagerstroemia subcostata Koehne  var. fauriei (Koehne) Hatus. ex Yahara,Lagerstroemia_subcostata_var_fauriei,Lythraceae,var,angiosperm,W,D,150,100,206.533,7,29.50471429,2.2239,,,0.1505,107.6777077,0.547758621,83.39719018,0.554134154
,,,,,,,,,,,,,,,,,,,,,,
225,イスノキ,マンサク,Distylium racemosum Siebold et Zucc.,Distylium_racemosum,Hamamelidaceae,sp,angiosperm,W,E,150,70,101.431,11,9.221,1.7464,,,0.451,172.1761592,0.446649616,175.0704374,0.388182788
,,,,,,,,,,,,,,,,,,,,,,
226,サネカズラ,マツブサ,Kadsura japonica (L.) Dunal,Kadsura_japonica,Schisandraceae,sp,angiosperm,W,E,150,70,156.138,6,26.023,1.1718,,,0.309,75.04899512,0.253636364,59.8422586,0.193664267
,,,,,,,,,,,,,,,,,,,,,,
227,スダジイ,ブナ,Castanopsis sieboldii (Makino) Hatus. ex T.Yamaz. et Mashiba,Castanopsis_sieboldii,Fagaceae,sp,angiosperm,W,E,150,100,97.988,10,9.7988,1.4186,,,0.3515,144.7728293,0.504839858,127.9605742,0.364041463
,,,,,,,,,,,,,,,,,,,,,,
228,ハドノキ,イラクサ,Oreocnide pedunculata (Shirai) Masam.,Oreocnide_pedunculata,Urticaceae,sp,angiosperm,W,E,152,100,113.455,11,10.31409091,0.6215,,,0.27,54.77942797,0.351129944,66.8450761,0.247574356
,,,,,,,,,,,,,,,,,,,,,,
229,トベラ,トベラ,Pittosporum tobira (Thunb.) Aiton,Pittosporum_tobira,Pittosporaceae,sp,angiosperm,W,E,152,100,103.675,14,7.405357143,1.4653,,,0.385,141.3359055,0.417464387,124.1408556,0.322443781
,,,,,,,,,,,,,,,,,,,,,,
