no,Wamei,Family_JPN,新リスト学名,Species,APG.family,Class,group,Growthform,EveDec,ALT,Canopy openess,total LA,no of leaves (leaflet),LA mean (leaf let),Scanned leaf DW,Lamina DW,petiole DW,Lamina thickness,Whole leaf LMA,LDMC,LD LMA,TD
31,カラスザンショウ,ミカン,Zanthoxylum ailanthoides Siebold et Zucc.,Zanthoxylum_ailanthoides,Rutaceae,sp,angiosperm,W,D,72,100,190.168,3,63.38933333,1.9105,1.8951,,0.2855,100.4638004,0.382942473,100.585924,0.35231497
,,,,,,,,,,,,,,,,,,,,,,
32,クスノキ,クスノキ,Cinnamomum camphora (L.) J.Presl,Cinnamomum_camphora,Lauraceae,sp,angiosperm,W,E,72,100,150.003,6,25.0005,1.7489,1.6341,0.1148,0.255,116.5910015,0.458187058,117.7746579,0.461861403
,,,,,,,,,,,,,,,,,,,,,,
33,カンコノキ,トウダイグサ,Glochidion obovatum Siebold et Zucc.,Glochidion_obovatum,Euphorbiaceae,sp,angiosperm,W,D,72,100,96.332,12,8.027666667,1.1059,1.0709,0.035,0.239,114.8008969,0.469596603,105.0422624,0.439507374
,,,,,,,,,,,,,,,,,,,,,,
34,シロダモ,クスノキ,Neolitsea sericea (Blume) Koidz.,Neolitsea_sericea,Lauraceae,sp,angiosperm,W,E,72,100,144.976,8,18.122,2.2491,2.0926,0.1565,0.257,155.1360225,0.511973594,134.9633917,0.525149384
,,,,,,,,,,,,,,,,,,,,,,
35,アカメガシワ,トウダイグサ,Mallotus japonicus (L.f.) Muell.Arg.,Mallotus_japonicus,Euphorbiaceae,sp,angiosperm,W,D,126,100,253.325,3,84.44166667,2.196,1.917,0.279,0.2995,86.68706207,0.360295324,77.66761223,0.259324248
,,,,,,,,,,,,,,,,,,,,,,
36,ハマヒサカキ,ツバキ,Eurya emarginata (Thunb.) Makino,Eurya_emarginata,Theaceae,sp,angiosperm,W,E,126,100,37.474,12,3.122833333,0.732,0.7147,0.0173,0.6775,195.3354326,0.394609164,162.9746617,0.240553006
,,,,,,,,,,,,,,,,,,,,,,
37,シャリンバイ,バラ,Rhaphiolepis indica (L.) Lindl. ex Ker  var. umbellata (Thunb.) H.Ohashi,Rhaphiolepis_indica_var_umbellata,Rosaceae,var,angiosperm,W,E,126,100,113.48,6,18.91333333,2.3372,2.1867,0.1505,0.5,205.9569968,0.430185901,169.9774792,0.339954958
,,,,,,,,,,,,,,,,,,,,,,
38,クマノミズキ,ミズキ,Cornus macrophylla Wall.,Cornus_macrophylla,Cornaceae,sp,angiosperm,W,D,126,100,193.339,5,38.6678,1.9059,1.7564,0.1495,0.2115,98.57814512,0.404392107,77.03099246,0.36421273
,,,,,,,,,,,,,,,,,,,,,,
39,タイミンタチバナ,ヤブコウジ,Myrsine seguinii H.Lév.,Myrsine_seguinii,Primulaceae,sp,angiosperm,W,E,126,100,105.391,12,8.782583333,1.2666,1.1981,0.0685,0.339,120.1810401,0.400442618,116.5014183,0.343662001
,,,,,,,,,,,,,,,,,,,,,,
40,ヒメユズリハ,ユズリハ,Daphniphyllum teijsmannii Zoll. ex Kurz,Daphniphyllum_teijsmannii,Daphniphyllaceae,sp,angiosperm,W,E,126,100,143.28,5,28.656,2.2736,2.0612,0.2124,0.374,158.6823004,0.392677029,121.5943765,0.325118654
,,,,,,,,,,,,,,,,,,,,,,
41,イヌビワ,クワ,Ficus erecta Thunb.,Ficus_erecta,Moraceae,sp,angiosperm,W,D,126,100,189.439,4,47.35975,1.7921,1.7106,0.0815,0.3025,94.60037268,0.339670205,82.12395064,0.271484134
,,,,,,,,,,,,,,,,,,,,,,
42,エゴノキ,エゴノキ,Styrax japonica Siebold et Zucc.,Styrax_ japonica,Styracaceae,sp,angiosperm,W,D,126,100,191.315,4,47.82875,1.7994,1.7427,0.0567,0.2425,94.05430834,0.404177898,82.76057041,0.341280703
,,,,,,,,,,,,,,,,,,,,,,
43,ハゼノキ,ウルシ,Rhus succedanea L.,Rhus_succedanea,Anacardiaceae,sp,angiosperm,W,D,126,100,123.783,8,15.472875,0.9677,0.9399,0.0278,0.2425,78.17713256,0.410042373,81.48733086,0.33603023
,,,,,,,,,,,,,,,,,,,,,,
44,スダジイ,ブナ,Castanopsis sieboldii (Makino) Hatus. ex T.Yamaz. et Mashiba,Castanopsis_sieboldii,Fagaceae,sp,angiosperm,W,E,126,100,79.323,12,6.61025,1.2422,1.1834,0.0588,0.4055,156.6002294,0.459733531,145.7859279,0.3595214
,,,,,,,,,,,,,,,,,,,,,,
45,リュウキュウマメガキ,カキノキ,Diospyros japonica Siebold et Zucc.,Diospyros_japonica,Ebenaceae,sp,angiosperm,W,D,126,100,,,,3.453,3.2019,0.2511,0.2195,,0.448616344,81.48733086,0.371240687
,,,,,,,,,,,,,,,,,,,,,,
47,ヤマビワ,アワブキ,Meliosma rigida Siebold et Zucc.,Meliosma_rigida,Sabiaceae,sp,angiosperm,W,E,152,100,116.603,5,23.3206,1.5475,1.4516,0.0959,0.3615,132.7152818,0.451956776,107.5887415,0.297617542
,,,,,,,,,,,,,,,,,,,,,,
48,イイギリ,イイギリ,Idesia polycarpa Maxim.,Idesia_polycarpa,Salicaceae,sp,angiosperm,W,D,152,100,262.657,3,87.55233333,2.9956,2.5057,0.4899,0.24,114.0498825,0.405029746,82.76057041,0.34483571
,,,,,,,,,,,,,,,,,,,,,,
49,ウバメガシ,ブナ,Quercus phillyraeoides A.Gray,Quercus_phillyraeoides,Fagaceae,sp,angiosperm,W,E,152,100,52.522,10,5.2522,1.0446,0.9974,0.0472,0.376,198.888085,0.551240106,178.890156,0.475771692
,,,,,,,,,,,,,,,,,,,,,,
50,ウラジロガシ,ブナ,Quercus salicina Blume,Quercus_salicina,Fagaceae,sp,angiosperm,W,E,152,100,139.35,8,17.41875,1.9825,1.8699,0.1126,0.292,142.2676713,0.530080214,103.7690229,0.355373366
,,,,,,,,,,,,,,,,,,,,,,
51,ヤマモモ,ヤマモモ,Myrica rubra Siebold et Zucc.,Myrica_rubra,Primulaceae,sp,angiosperm,W,E,152,100,53.316,6,8.886,0.6843,0.646,0.0383,0.259,128.3479631,0.471280992,106.315502,0.410484564
,,,,,,,,,,,,,,,,,,,,,,
53,クロキ,ハイノキ,Symplocos kuroki Nagam.,Symplocos_kuroki,Symplocaceae,sp,angiosperm,W,E,126,70,119.843,10,11.9843,1.9798,1.868,0.1118,0.3625,165.1994693,0.414965416,126.0507149,0.34772611
,,,,,,,,,,,,,,,,,,,,,,
54,ヤクシマサルスベリ,ミソハギ,Lagerstroemia subcostata Koehne,Lagerstroemia_subcostata,Lythraceae,sp,angiosperm,W,D,204,100,135.088,8,16.886,0.9747,0.9365,0.0382,0.1685,72.15296695,0.498312883,64.93521678,0.385372206
,,,,,,,,,,,,,,,,,,,,,,
55,クマノミズキ,ミズキ,Cornus macrophylla Wall.,Cornus_macrophylla,Cornaceae,sp,angiosperm,W,D,204,100,236.753,3,78.91766667,2.58935,2.5639,0.2534,0.222,109.3692583,0.393997261,91.03662745,0.410074898
,,,,,,,,,,,,,,,,,,,,,,
56,サカキカズラ,キョウチクトウ,Anodendron affine (Hook. et Arn.) Druce,Anodendron_affine,Apocynaceae,sp,angiosperm,W,E,239,100,119.319,6,19.8865,1.46,1.4054,0.0546,0.3905,122.3610657,0.330316742,99.31268449,0.254321855
,,,,,,,,,,,,,,,,,,,,,,
57,オオバヤドリギ,ヤドリギ,Scurrula yadoriki (Siebold ex Maxim.) Danser,Scurrula_yadoriki,Loranthaceae,sp,angiosperm,W,E,239,100,72.656,8,9.082,1.4321,1.3509,0.0812,0.5295,197.1069148,0.455937599,206.2648062,0.389546376
,,,,,,,,,,,,,,,,,,,,,,
58,サカキ,ツバキ,Cleyera japonica Thunb.,Cleyera_japonica,Theaceae,sp,angiosperm,W,E,239,100,51.92,8,6.49,1.069,1.0163,0.0527,0.5255,205.8936826,0.456252668,214.5408633,0.408260444
,,,,,,,,,,,,,,,,,,,,,,
59,サザンカ,ツバキ,Camellia sasanqua Thunb.,Camellia_sasanqua,Theaceae,sp,angiosperm,W,E,239,100,57.84,12,4.82,0.9926,0.954,0.0386,0.375,171.6113416,0.477670837,174.4338176,0.465156847
,,,,,,,,,,,,,,,,,,,,,,
