Species,Family,Growth_form,Leaf_habit,Leaf_type,Location,Biomes,Data contributor,ID,Rep,Saturated_weight_leaf,Thickness1_leaf,Thickness2_leaf,Thickness3_leaf,Leaf_area_leaf,Dry_mass_leaf,LTleaf,LDMCleaf,LMAleaf,LDleaf,Saturated_weight_disc,Thickness1_disc,Thickness2_disc,Thickness3_disc,Leaf_area_disc,Dry_mass_disc,LTdisc,LDMCdisc,LMAdisc,LDdisc
Rosa longicuspis,Rosaceae,L,E,compound,Ailao_underground,STF,Chen Yajun,121,6,0.218,0.287,0.297,0.286,8.001,0.0773,0.29,0.354587156,96.61292338,0.333148012,0.0257,0.249,0.253,0.241,0.889,0.0107,0.247666667,0.416342412,120.359955,0.485975592
Symplocos sumuntia,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,122,1,0.6599,0.391,0.405,0.363,16.668,0.1971,0.386333333,0.298681618,118.25054,0.306084228,0.0197,0.277,0.288,0.269,0.889,0.0054,0.278,0.274111675,60.7424072,0.218497868
Symplocos sumuntia,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,122,2,0.9446,0.407,0.409,0.391,23.302,0.2985,0.402333333,0.316006775,128.1005922,0.318394181,0.0227,0.306,0.302,0.261,0.889,0.0071,0.289666667,0.31277533,79.86501687,0.275713522
Symplocos sumuntia,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,122,3,0.9192,0.429,0.422,0.389,19.962,0.2897,0.413333333,0.315165361,145.1257389,0.351110659,0.0303,0.392,0.401,0.372,0.889,0.0095,0.388333333,0.313531353,106.8616423,0.275180195
Symplocos sumuntia,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,122,4,0.943,0.475,0.437,0.388,22.652,0.2975,0.433333333,0.315482503,131.3349815,0.303080726,0.0302,0.392,0.383,0.369,0.889,0.0088,0.381333333,0.291390728,98.98762655,0.259582937
Symplocos sumuntia,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,122,5,0.8624,0.427,0.422,0.405,20.764,0.2758,0.418,0.319805195,132.8260451,0.317765658,0.0294,0.393,0.346,0.33,0.889,0.0086,0.356333333,0.292517007,96.73790776,0.2714815
Symplocos sumuntia,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,122,6,1.2308,0.407,0.406,0.385,28.838,0.3792,0.399333333,0.308092298,131.4931687,0.329281725,0.0294,0.39,0.403,0.359,0.889,0.009,0.384,0.306122449,101.2373453,0.26363892
Ilex szechwanensis,Aquifoliaceae,T,E,single,Ailao_underground,STF,Chen Yajun,123,1,0.375,0.294,0.29,0.278,14.007,0.147,0.287333333,0.392,104.9475262,0.365246611,0.0222,0.318,0.307,0.288,0.889,0.0073,0.304333333,0.328828829,82.11473566,0.269818409
Ilex szechwanensis,Aquifoliaceae,T,E,single,Ailao_underground,STF,Chen Yajun,123,2,0.3514,0.279,0.276,0.266,14.068,0.1287,0.273666667,0.366249289,91.48421951,0.334290692,0.0204,0.314,0.302,0.289,0.889,0.0075,0.301666667,0.367647059,84.36445444,0.279661175
Ilex szechwanensis,Aquifoliaceae,T,E,single,Ailao_underground,STF,Chen Yajun,123,3,0.3717,0.292,0.3,0.283,13.563,0.1412,0.291666667,0.379876244,104.106761,0.356937466,0.0211,0.312,0.304,0.258,0.889,0.007,0.291333333,0.331753555,78.74015748,0.27027514
Ilex szechwanensis,Aquifoliaceae,T,E,single,Ailao_underground,STF,Chen Yajun,123,4,0.3284,0.28,0.278,0.262,12.936,0.1268,0.273333333,0.386114495,98.02102659,0.358613512,0.0215,0.317,0.304,0.278,0.889,0.0079,0.299666667,0.36744186,88.86389201,0.296542465
Ilex szechwanensis,Aquifoliaceae,T,E,single,Ailao_underground,STF,Chen Yajun,123,5,0.3375,0.269,0.263,0.25,13.71,0.1376,0.260666667,0.407703704,100.3646973,0.385030808,0.025,0.331,0.321,0.298,0.889,0.0097,0.316666667,0.388,109.1113611,0.344562193
Ilex szechwanensis,Aquifoliaceae,T,E,single,Ailao_underground,STF,Chen Yajun,123,6,0.3418,0.294,0.294,0.28,12.512,0.1352,0.289333333,0.395552955,108.056266,0.373466357,0.0222,0.344,0.333,0.319,0.889,0.0082,0.332,0.369369369,92.23847019,0.277826717
Symplocos poilanei,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,124,2,0.6621,0.29,0.263,0.305,27.691,0.2587,0.286,0.390726476,93.42385613,0.32665684,0.012,0.213,0.216,0.219,0.889,0.0051,0.216,0.425,57.36782902,0.265591801
Symplocos poilanei,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,124,3,0.9638,0.286,0.29,0.311,24.709,0.2265,0.295666667,0.235007263,91.66700393,0.310034963,0.0212,0.236,0.24,0.258,0.889,0.0048,0.244666667,0.226415094,53.99325084,0.220680862
Symplocos poilanei,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,124,4,0.6099,0.322,0.328,0.336,31.562,0.3441,0.328666667,0.564190851,109.0235093,0.331714531,0.0176,0.319,0.334,0.303,0.889,0.0072,0.318666667,0.409090909,80.98987627,0.254152331
Symplocos poilanei,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,124,5,0.5442,0.265,0.285,0.281,24.809,0.2076,0.277,0.381477398,83.67930993,0.302091372,0.0215,0.3,0.307,0.284,0.889,0.0064,0.297,0.297674419,71.99100112,0.242393943
