Species,Location,LA,Data.contributor,Family,Growth form,Leaf habit,Biomes,Garden,MAT,MAP,LT,LTdisc,LMAdisc,LDMCdisc,LDdisc,LMAleaf,LDMCleaf,LDleaf
Ilex gintungensis,Ailao_understory,40.45133333333333,Li Peifu,Aquifoliaceae,Trees,E,STF,NO,11.7,1728,0.29,NA,118.97,0.42,0.410241379,135.3189607,0.39455038,0.466617106
Lithocarpus xylocarpus,Ailao_understory,29.9705,Li Peifu,Fagaceae,Trees,E,STF,NO,11.7,1728,0.172055556,NA,90.16277424,0.500207349,0.524032913,98.58133075,0.407413885,0.572962205
Machilus salicina,Ailao_understory,34.31666666666666,Li Peifu,Lauraceae,Trees,E,STF,NO,11.7,1728,0.1835,NA,108.2802548,0.49206245,0.590083132,83.72127967,0.349819923,0.456246756
Viburnum cylindricum,Ailao_understory,55.214,Li Peifu,Adoxaceae,Trees,E,STF,NO,11.7,1728,0.2815,NA,82.73177636,0.340846803,0.293896186,102.8481947,0.332964567,0.365357708
Tetracentron sinense,Ailao_understory,64.5905,Li Peifu,Trochodendraceae,Trees,D,STF,NO,11.7,1728,0.224111111,NA,59.02335456,0.337260422,0.263366481,57.16758483,0.322354817,0.255085902
Schima noronhae,Ailao_understory,49.786,Li Peifu,Theaceae,Trees,E,STF,NO,11.7,1728,0.179722222,NA,79.05166313,0.41936734,0.439854695,100.2620757,0.368265698,0.557872447
Machilus yunnanensis,Ailao_understory,27.1355,Li Peifu,Lauraceae,Trees,E,STF,NO,11.7,1728,0.160333334,NA,91.57820241,0.464534949,0.571173817,111.1887803,0.433186944,0.693485113
Ilex corallina,Ailao_understory,7.894833333333334,Li Peifu,Aquifoliaceae,Trees,E,STF,NO,11.7,1728,0.285555556,NA,113.6588818,0.412747858,0.398027212,119.3594485,0.370551104,0.417990286
Lyonia ovalifolia,Ailao_understory,45.486000000000004,Li Peifu,Ericaceae,Trees,D,STF,NO,11.7,1728,0.091666667,NA,52.58315641,0.452898261,0.573634431,81.6002187,0.398454476,0.890184201
Lithocarpus hancei,Ailao_understory,42.704166666666666,Li Peifu,Fagaceae,Trees,E,STF,NO,11.7,1728,0.328111111,NA,97.87685775,0.310929574,0.298304003,134.7216744,0.428070338,0.410597721
Actinidia chinensis,Ailao_understory,44.18366666666667,Li Peifu,Actinidiaceae,Lias,D,STF,NO,11.7,1728,0.154722222,NA,93.34748762,0.55441775,0.603323081,84.71975552,0.285034728,0.54756036
Rubus wallichianus,Ailao_understory,62.305,Li Peifu,Rosaceae,Lias,E,STF,NO,11.7,1728,0.172166667,NA,61.28803963,0.397130161,0.355980868,79.05448475,0.415257905,0.45917416
Manglietia insignis,Ailao_understory,59.785666666666664,Li Peifu,Magnoliaceae,Trees,E,STF,NO,11.7,1728,0.285277778,NA,84.99646143,0.323990965,0.297942805,119.067561,0.320613677,0.417374118
Hartia sinensis,Ailao_understory,24.289166666666667,Li Peifu,Theaceae,Trees,E,STF,NO,11.7,1728,0.345277778,NA,150.6723284,0.417790641,0.43638003400000003,178.2017366,0.356628193,0.516111224
Camellia forrestii,Ailao_understory,7.253,Li Peifu,Theaceae,Trees,E,STF,NO,11.7,1728,0.262388889,NA,114.5081387,0.420925193,0.436406203,129.942446,0.376068359,0.495228462
Symplocos anomala,Ailao_understory,14.685166666666667,Li Peifu,Symplocaceae,Trees,E,STF,NO,11.7,1728,0.263055556,NA,76.57466384,0.321982921,0.291096926,94.63215717,0.30478120399999997,0.359742096
