Species,Location,LA,Data.contributor,Family,Growth form,Leaf habit,Biomes,Garden,MAT,MAP,LT,LTdisc,LMAdisc,LDMCdisc,LDdisc,LMAleaf,LDMCleaf,LDleaf
Desmodium yunnanense,Lijiang,39.216,Li Peifu,Leguminosae,Trees,D,CTF,NO,7.9,1095,0.151611111,NA,55.13092711,0.318069311,0.363633818,56.73694025,0.306134024,0.374226796
Rhododendron yunnanense,Lijiang,29.430666666666667,Li Peifu,Ericaceae,Trees,D,CTF,NO,7.9,1095,0.196,NA,84.64260439,0.314678673,0.431850022,90.21976387,0.337569172,0.460304918
Sorbus coronata,Lijiang,55.8005,Li Peifu,Rosaceae,Trees,D,CTF,NO,7.9,1095,0.167277778,NA,70.13446568,0.401613647,0.419269472,92.00070745,0.373727779,0.549987623
Rhododendron decorum,Lijiang,42.562333333333335,Li Peifu,Ericaceae,Trees,E,CTF,NO,7.9,1095,0.340277778,NA,122.6468507,0.365210138,0.360431561,118.9859791,0.315092798,0.349673081
Quercus aquifolioides,Lijiang,32.41716666666667,Li Peifu,Fagaceae,Trees,E,CTF,NO,7.9,1095,0.171444445,NA,77.1408351,0.400883599,0.449946542,82.06529191,0.402467573,0.47866988
Quercus guyavifolia,Lijiang,20.849333333333334,Li Peifu,Fagaceae,Trees,E,CTF,NO,7.9,1095,0.4365,NA,237.084218,0.499197313,0.543148266,240.7814586,0.459787012,0.551618462
Salix dibapha,Lijiang,19.452166666666667,Li Peifu,Salicaceae,Trees,E,CTF,NO,7.9,1095,0.186666667,NA,108.5633404,0.359345619,0.581589323,132.0503279,0.430100095,0.70741247
Lyonia villosa,Lijiang,32.43383333333333,Li Peifu,Ericaceae,Trees,D,CTF,NO,7.9,1095,0.199222222,NA,77.0700637,0.394331797,0.386854754,86.42214284,0.350237603,0.433797706
Cornus walteri,Lijiang,33.685,Li Peifu,Corceae,Trees,D,CTF,NO,7.9,1095,0.155666667,NA,52.22929936,0.321148825,0.335520124,50.9957702,0.237135614,0.327595953
Elsholtzia eriocalyx,Lijiang,26.962799999999998,Li Peifu,Lamiaceae,Trees,E,CTF,NO,7.9,1095,0.147166667,NA,35.17338995,0.246103991,0.239003782,37.77394257,0.177121291,0.256674581
Viburnum cylindricum,Lijiang,27.546333333333333,Li Peifu,Adoxaceae,Trees,E,CTF,NO,7.9,1095,0.400388889,NA,148.9030432,0.332604919,0.371896042,149.2356702,0.363947006,0.372726802
Malus ombrophila,Lijiang,57.01683333333333,Li Peifu,Rosaceae,Trees,D,CTF,NO,7.9,1095,0.212444444,NA,109.7,0.49,0.516370294,119.9633888,0.445936147,0.564681225
Clerodendrum yunnanense,Lijiang,110.02683333333334,Li Peifu,Lamiaceae,Trees,D,CTF,NO,7.9,1095,0.180444445,NA,53.43241331,0.302137903,0.29611559,67.25945285,0.244740638,0.372743272
Euonymus laxiflorus,Lijiang,12.757833333333334,Li Peifu,Celastraceae,Trees,D,CTF,NO,7.9,1095,0.289833333,NA,106.6525124,0.333423276,0.367978767,118.5736869,0.28673611,0.409109904
Rhododendron rubiginosum,Lijiang,17.601,Li Peifu,Ericaceae,Trees,E,CTF,NO,7.9,1095,0.269,NA,92.49823072,0.352291319,0.343859594,79.98016309,0.315655201,0.297324026
Rhododendron racemosum,Lijiang,21.302333333333333,Li Peifu,Ericaceae,Trees,E,CTF,NO,7.9,1095,0.183277778,NA,90.7289455,0.423658742,0.495035167,98.18948517,0.381904053,0.535741355
Acer pictum,Lijiang,67.0625,Li Peifu,Sapindaceae,Trees,D,CTF,NO,7.9,1095,0.115666667,NA,46.99221514,0.365836333,0.406272752,51.73781526,0.34321092,0.447300995
Quercus aliena,Lijiang,33.924166666666665,Li Peifu,Fagaceae,Trees,D,CTF,NO,7.9,1095,0.186333333,NA,98.08917197,0.45789295,0.52641774,86.94361391,0.411135567,0.46660258
Coriaria nepalensis,Lijiang,41.18966666666667,Li Peifu,Coriariaceae,Trees,D,CTF,NO,7.9,1095,0.266944445,NA,96.24911536,0.312137114,0.3605586,93.90469556,0.314219287,0.351776174
Lonicera setifera,Lijiang,12.6585,Li Peifu,Caprifoliaceae,Trees,D,CTF,NO,7.9,1095,0.428277778,NA,137.1549894,0.29351943,0.320247737,126.6782547,0.202215705,0.295785262
Macaranga denticulata,Mengla_bubeng,108.7825,Li Peifu,Euphorbiaceae,Trees,D,TRF,NO,21.4,1415,0.292888889,NA,73.17763624,0.40311002,0.249847772,76.01623807,0.339535161,0.259539508
Lindera metcalfiana,Mengla_bubeng,24.026,Li Peifu,Lauraceae,Trees,E,TRF,NO,21.4,1415,0.173944444,NA,73.95612173,0.429838289,0.425170934,72.01854713,0.373980581,0.414031891
Gnetum montanum,Mengla_bubeng,30.665166666666668,Li Peifu,Gnetaceae,Lias,E,TRF,NO,21.4,1415,0.358055556,NA,126.7515924,0.378233507,0.353999792,115.4296268,0.329721337,0.322379097
Ostodes paniculata,Mengla_bubeng,53.5225,Li Peifu,Euphorbiaceae,Trees,E,TRF,NO,21.4,1415,0.216833333,NA,80.39631989,0.378590431,0.370774727,93.39198989,0.328622039,0.43070864
Alnus cremastogyne,Mengla_bubeng,39.3785,Li Peifu,Betulaceae,Trees,E,TRF,NO,21.4,1415,0.227555556,NA,111.1818825,0.481145544,0.488592256,116.0813109,0.441729424,0.510122947
Garcinia cowa,Mengla_bubeng,32.31216666666666,Li Peifu,Clusiaceae,Trees,E,TRF,NO,21.4,1415,0.287222222,NA,100.9907997,0.334492283,0.351612069,115.0623494,0.279631105,0.400603925
Ilex godajam,Mengla_bubeng,26.509666666666668,Li Peifu,Aquifoliaceae,Trees,E,TRF,NO,21.4,1415,0.298222222,NA,111.3941967,0.419821095,0.373527485,115.2877008,0.420166125,0.3865832
Harpullia cupanioides,Mengla_bubeng,82.2725,Li Peifu,Sapindaceae,Trees,E,TRF,NO,21.4,1415,0.176333333,NA,61.21726822,0.396026116,0.347167873,95.0000105,0.5554437,0.538752424
Celtis timorensis,Mengla_bubeng,59.51983333333333,Li Peifu,Canbaceae,Trees,E,TRF,NO,21.4,1415,0.243944444,NA,105.0955414,0.421490315,0.430817524,103.0361741,0.381163267,0.422375572
Duabanga grandiflora,Mengla_bubeng,89.4245,Li Peifu,Lythraceae,Trees,E,TRF,NO,21.4,1415,0.329944445,NA,133.7579618,0.431351304,0.405395405,131.3691035,0.402100535,0.398155221
Pterospermum menglunense,Mengla_bubeng,15.5815,Li Peifu,Malvaceae,Trees,D,TRF,NO,21.4,1415,0.289111111,NA,103.8924275,0.475308459,0.35935121,132.0047421,0.422104214,0.45658827
Drypetes hoaensis,Mengla_bubeng,19.8996,Li Peifu,Putranjivaceae,Trees,E,TRF,NO,21.4,1415,0.200333333,NA,76.43312102,0.474190844,0.381529723,120.5037776,0.471581883,0.601516362
Strychnos cathayensis,Mengla_bubeng,43.214,Li Peifu,Loganiaceae,Lias,E,TRF,NO,21.4,1415,0.165555556,NA,78.62703468,0.397980557,0.474928396,114.738254,0.306986691,0.693049855
Castanopsis indica,Mengla_bubeng,76.7174,Li Peifu,Fagaceae,Trees,E,TRF,NO,21.4,1415,0.288666667,NA,146.5675867,0.510474955,0.507739907,97.51233242,0.449179496,0.337802537
Litchi chinensis,Mengla_bubeng,38.385333333333335,Li Peifu,Sapindaceae,Trees,E,TRF,NO,21.4,1415,0.210333334,NA,129.9363057,0.498997566,0.617763734,136.5884015,0.424239522,0.649390179
Barringtonia macrostachya,Mengla_bubeng,57.217,Li Peifu,Lecythidaceae,Trees,E,TRF,NO,21.4,1415,0.234944445,NA,72.18683652,0.361549031,0.307250663,81.13474994,0.285510011,0.345335894
Dalbergia rimosa,Mengla_bubeng,29.2845,Li Peifu,Leguminosae,Lias,E,TRF,NO,21.4,1415,0.199611111,NA,80.67940552,0.384426653,0.404182939,121.2252135,0.429033282,0.607306942
Uncaria macrophylla,Mengla_bubeng,55.071333333333335,Li Peifu,Rubiaceae,Lias,D,TRF,NO,21.4,1415,0.312222222,NA,126.0438783,0.505227389,0.403699255,102.5197268,0.360131826,0.328354997
Canthium simile,Mengla_bubeng,24.463,Li Peifu,Rubiaceae,Trees,E,TRF,NO,21.4,1415,0.233055556,NA,114.0835103,0.432008309,0.489512081,113.1297736,0.388098712,0.485419767
Aganope thyrsiflora,Mengla_bubeng,43.57083333333333,Li Peifu,Leguminosae,Lias,E,TRF,NO,21.4,1415,0.182888889,NA,83.79334749,0.480796781,0.458165326,61.34951735,0.35445267,0.335446935
Aglaia lawii (Wight) C. J. Saldanha,Mengla_bubeng,91.62216666666667,Li Peifu,Meliaceae,Trees,D,TRF,NO,21.4,1415,0.301055556,NA,109.2710545,0.326541767,0.362959767,139.4664206,0.329523541,0.463258086
Croton spp.,Mengla_bubeng,82.16516666666666,Li Peifu,Euphorbiaceae,Trees,D,TRF,NO,21.4,1415,0.224555556,NA,84.50106157,0.412027464,0.376303589,77.4267772,0.330827922,0.344800096
Croton tiglium spp. A,Mengla_bubeng,82.4275,Li Peifu,Euphorbiaceae,Trees,D,TRF,NO,21.4,1415,0.192222222,NA,87.40268931,0.434263542,0.454696072,69.67280808,0.326998167,0.362459696
Heteropanax fragrans,Mengla_bubeng,42.423,Li Peifu,Araliaceae,Trees,E,TRF,NO,21.4,1415,0.352777778,NA,133.6164189,0.380055551,0.378755203,59.84829061,0.276154654,0.169648698
Embelia longifolia,Mengla_bubeng,17.8894,Li Peifu,Primulaceae,Lias,E,TRF,NO,21.4,1415,0.329055555,NA,105.4493984,0.311391884,0.320460776,103.9936741,0.25479268,0.316036829
Uncaria laevigata,Mengla_bubeng,58.94133333333333,Li Peifu,Rubiaceae,Lias,D,TRF,NO,21.4,1415,0.203555556,NA,101.4861996,0.446368756,0.498567573,86.31283939,0.384913405,0.424025957
Phoebe lanceolata,Mengla_bubeng,56.87683333333334,Li Peifu,Lauraceae,Trees,E,TRF,NO,21.4,1415,0.1775,NA,69.07289455,0.504506162,0.389143068,68.00987709,0.457514431,0.383154237
Stixis suaveolens,Mengla_bubeng,71.59783333333333,Li Peifu,Capparaceae,Lias,E,TRF,NO,21.4,1415,0.236722223,NA,49.8421808,0.290976271,0.210551338,91.50303583,0.351605924,0.386541807
Homalium ceylanicum,Mengla_bubeng,26.55,Li Peifu,Salicaceae,Trees,D,TRF,NO,21.4,1415,0.293444444,NA,131.7763624,0.428954954,0.449067498,119.8220027,0.372436584,0.40832943
Parashorea chinensis,Mengla_bubeng,29.776666666666667,Li Peifu,Dipterocarpaceae,Trees,E,TRF,NO,21.4,1415,0.213111111,NA,102.9016277,0.481235821,0.482854353,128.1611307,0.404266642,0.60138174
Baccaurea ramiflora,Mengla_bubeng,57.557,Li Peifu,Phyllanthaceae,Trees,E,TRF,NO,21.4,1415,0.295055556,NA,102.7600849,0.370089995,0.348273682,96.60519865,0.28966746,0.327413589
Elaeocarpus sylvestris,Mengla_bubeng,46.195,Li Peifu,Elaeocarpaceae,Trees,E,TRF,NO,21.4,1415,0.257555556,NA,128.0962491,0.43114522,0.497353857,117.9617498,0.392930343,0.458005067
Ficus drupacea,Mengla_bubeng,92.60983333333333,Li Peifu,Moraceae,Trees,E,TRF,NO,21.4,1415,0.3205,NA,112.5265393,0.408317599,0.351096846,145.6657488,0.343406576,0.454495316
Cleidion brevipetiolatum,Mengla_bubeng,59.12916666666666,Li Peifu,Euphorbiaceae,Trees,E,TRF,NO,21.4,1415,0.192333333,NA,77.9193206,0.385587799,0.405126451,90.31991551,0.392898643,0.469600948
Canarium album,Mengla_bubeng,33.27133333333333,Li Peifu,Burseraceae,Trees,D,TRF,NO,21.4,1415,0.268666667,NA,112.1726822,0.444728175,0.417516186,115.4671398,0.427724908,0.429778435
Alseodaphne andersonii,Mengla_bubeng,86.56133333333334,Li Peifu,Lauraceae,Trees,E,TRF,NO,21.4,1415,0.357933333,NA,90.87048832,0.387567277,0.253875457,110.6785311,0.346713655,0.30921549
Sloanea tomentosa,Mengla_bubeng,42.09166666666667,Li Peifu,Elaeocarpaceae,Trees,E,TRF,NO,21.4,1415,0.254611111,NA,116.0651097,0.478257868,0.455852493,126.7675364,0.430412641,0.497886899
Fissistigma maclurei,Mengla_bubeng,14.368666666666666,Li Peifu,Annoceae,Lias,E,TRF,NO,21.4,1415,0.321611111,NA,98.3722576,0.492360625,0.305873318,108.013223,0.429329002,0.335850408
Ventilago calyculata,Mengla_bubeng,23.804499999999997,Li Peifu,Rhamceae,Lias,E,TRF,NO,21.4,1415,0.129444444,NA,56.61712668,0.402476896,0.43738553,64.3936307,0.370048599,0.497461526
Balakata baccata,Mengla_bubeng,37.6678,Li Peifu,Euphorbiaceae,Trees,E,TRF,NO,21.4,1415,0.214611111,NA,101.9815994,0.429984064,0.475192542,87.69,0.283779293,0.408599534
Bauhinia aurea,Mengla_bubeng,94.23183333333333,Li Peifu,Leguminosae,Lias,E,TRF,NO,21.4,1415,0.214444445,NA,72.32837934,0.423299971,0.337282597,100.3852219,0.452805617,0.468117614
Celastrus virens,Mengla_bubeng,26.691166666666668,Li Peifu,Celastraceae,Lias,E,TRF,NO,21.4,1415,0.181222222,NA,53.14932767,0.331112509,0.293282618,63.77382404,0.329150379,0.351909514
Colona thorelii,Mengla_bubeng,46.76116666666667,Li Peifu,Malvaceae,Trees,E,TRF,NO,21.4,1415,0.2715,NA,90.09200283,0.516656935,0.331830581,107.4155007,0.345042956,0.395637203
Mussaenda pubescens,Mengla_bubeng,36.7336,Li Peifu,Rubiaceae,Lias,D,TRF,NO,21.4,1415,0.208555555,NA,80.04246285,0.370504935,0.383794442,70.1907067,0.25386346,0.3365564
Lithocarpus craibianus,Mengla_bubeng,69.6345,Li Peifu,Fagaceae,Trees,E,TRF,NO,21.4,1415,0.237888889,NA,108.9879688,0.491216619,0.458146529,110.3430427,0.391330292,0.463842776
Glochidion puberum,Mengla_bubeng,41.623333333333335,Li Peifu,Phyllanthaceae,Trees,D,TRF,NO,21.4,1415,0.234555556,NA,74.30997877,0.417816857,0.316811846,79.90042746,0.372566511,0.340646066
Cinnamomum tenuipile,Mengla_bubeng,39.010999999999996,Li Peifu,Lauraceae,Trees,E,TRF,NO,21.4,1415,0.305333333,NA,111.3941967,0.419821095,0.364828156,126.9355201,0.348522503,0.415727686
Nephelium chryseum,Mengla_bubeng,37.41433333333333,Li Peifu,Sapindaceae,Trees,E,TRF,NO,21.4,1415,0.281388889,NA,110.1203114,0.5015057,0.391345628,122.7984537,0.447890964,0.436401217
Pometia pinnata,Mengla_bubeng,70.81616666666667,Li Peifu,Sapindaceae,Trees,E,TRF,NO,21.4,1415,0.169111111,NA,101.1323425,0.542716071,0.598023051,99.02537324,0.476223812,0.585563968
Semecarpus reticulatus,Mengla_bubeng,70.1735,Li Peifu,Acardiaceae,Trees,E,TRF,NO,21.4,1415,0.310444444,NA,113.871196,0.396808498,0.36680056,130.2698555,0.403886388,0.41962373
Ficus sagittata,Mengla_bubeng,72.58533333333332,Li Peifu,Moraceae,Lias,D,TRF,NO,21.4,1415,0.302611111,NA,144.8690729,0.471949677,0.478730184,187.3219502,0.403968172,0.619018745
Garuga pinnata,Mengla_bubeng,40.054,Li Peifu,Burseraceae,Trees,D,TRF,NO,21.4,1415,0.205111111,NA,100.7784855,0.434149426,0.491336062,97.41930422,0.333142832,0.474958688
Dysoxylum lenticellatum,Mengla_bubeng,93.76233333333333,Li Peifu,Meliaceae,Trees,D,TRF,NO,21.4,1415,0.2694,NA,63.69426752,0.266610299,0.236430095,56.97623177,0.186641284,0.211493065
Bauhinia glauca subsp. tenuiflora,Mengla_bubeng,24.8015,Li Peifu,Leguminosae,Lias,E,TRF,NO,21.4,1415,0.200777778,NA,64.96815287,0.331450099,0.323582388,99.50564192,0.343547772,0.495600872
Premna scandens,Mengla_bubeng,66.99533333333333,Li Peifu,Lamiaceae,Lias,D,TRF,NO,21.4,1415,0.261666667,NA,116.1358811,0.476099862,0.443831392,99.83204257,0.346401585,0.381523729
Mallotus metcalfianus,Mengla_bubeng,62.055,Li Peifu,Euphorbiaceae,Trees,E,TRF,NO,21.4,1415,0.288888889,NA,76.71620665,0.431517514,0.2655561,101.1278182,0.400109039,0.350057832
Symplocos cochinchinensis,Mengla_bubeng,57.89475,Li Peifu,Symplocaceae,Trees,E,TRF,NO,21.4,1415,0.265888889,NA,111.960368,0.390715712,0.421079528,119.6362378,0.341678104,0.449948241
Derris marginata,Mengla_bubeng,33.64866666666667,Li Peifu,Leguminosae,Lias,E,TRF,NO,21.4,1415,0.183,NA,73.88535032,0.494520679,0.403745084,91.01995429,0.37667135,0.497376799
Pseuduvaria trimera,Mengla_bubeng,81.43633333333334,Li Peifu,Annoceae,Trees,E,TRF,NO,21.4,1415,0.165888889,NA,74.87615004,0.421758238,0.451363262,74.42973626,0.361738638,0.448672221
Cinnamomum bejolghota,Mengla_bubeng,79.4435,Li Peifu,Lauraceae,Trees,E,TRF,NO,21.4,1415,0.304444444,NA,99.85845718,0.409251631,0.328002232,121.6115674,0.358987319,0.399454054
Tetracera sarmentosa,Mengla_bubeng,70.76,Li Peifu,Dilleniaceae,Lias,E,TRF,NO,21.4,1415,0.255444444,NA,74.73460722,0.350314333,0.292566971,126.237748,0.361989042,0.494188662
Poikilospermum suaveolens,Mengla_bubeng,56.988166666666665,Li Peifu,Urticaceae,Lias,D,TRF,NO,21.4,1415,0.289666667,NA,50.10615711,0.187758557,0.172978678,52.1286394,0.156016702,0.17996078
Mahonia bealei,Mengla_bubeng,87.9495,Li Peifu,Berberidaceae,Trees,E,TRF,NO,21.4,1415,0.257611111,NA,92.00283085,0.394730778,0.357138442,104.3023774,0.34155269,0.40488307
Combretum latifolium,Mengla_bubeng,59.84216666666667,Li Peifu,Combretaceae,Lias,D,TRF,NO,21.4,1415,0.2285,NA,112.5973107,0.459398301,0.492767224,123.0009178,0.459331305,0.538297233
Ficus langkokensis,Mengla_bubeng,47.660666666666664,Li Peifu,Moraceae,Trees,D,TRF,NO,21.4,1415,0.213611111,NA,82.1656051,0.439739998,0.384650427,83.02387941,0.329666827,0.388668356
Litsea panamanja,Mengla_bubeng,41.69916666666667,Li Peifu,Lauraceae,Trees,E,TRF,NO,21.4,1415,0.284444444,NA,122.0806794,0.472017772,0.429189889,121.6202939,0.363612687,0.427571346
Strychnos angustiflora,Mengla_bubeng,43.224333333333334,Wenda,Loganiaceae,Lias,E,TRF,NO,21.4,1415,0.220233333,NA,103.3,0.364166942,0.46904798,69.19474244,0.368131113,0.314188327
Ficus semicordata,Mengla_bubeng,86.435,Li Peifu,Moraceae,Trees,D,TRF,NO,21.4,1415,0.281777778,NA,76.15003539,0.420510779,0.270248548,88.84063066,0.344931982,0.31528615
Diospyros hasseltii,Mengla_bubeng,92.41499999999999,Li Peifu,Ebeceae,Trees,D,TRF,NO,21.4,1415,0.245833333,NA,118.2590234,0.430898928,0.481053655,108.1047368,0.376051345,0.439748082
Fissistigma polyanthum,Mengla_bubeng,38.13966666666666,Li Peifu,Annoceae,Lias,E,TRF,NO,21.4,1415,0.208333333,NA,88.25194621,0.469562627,0.423609342,116.8266745,0.388645388,0.560768038
Terminthia paniculata,Yuanjiang_savan,70.04475,Lvsong,Acardiaceae,Trees,D,HDS,NO,24.3,734,0.213083333,NA,100.2869441,0.39509874,0.47064659,94.96782069,0.419267174,0.445683946
Murraya exotica,Yuanjiang_savan,21.334625,Lvsong,Rutaceae,Trees,E,HDS,NO,24.3,734,0.251583333,NA,160.8680058,0.634218709,0.639422349,145.4107065,0.49545396,0.577982272
Diospyros yunnanensis,Yuanjiang_savan,23.3985,Lvsong,Ebeceae,Trees,E,HDS,NO,24.3,734,0.191666667,NA,148.3859398,0.638030576,0.774187511,136.2112728,0.487370624,0.710667509
Jasminum seguinii,Yuanjiang_savan,43.495375,Lvsong,Oleaceae,Lias,E,HDS,NO,24.3,734,0.183708333,NA,105.774749,0.390388214,0.575775455,106.9341677,0.333019982,0.582086648
Burretiodendron kydiifolium,Yuanjiang_savan,59.932500000000005,Lvsong,Malvaceae,Trees,D,HDS,NO,24.3,734,0.195375,NA,77.95911052,0.459809321,0.399022959,88.40201837,0.377980519,0.452473543
Dregea volubilis,Yuanjiang_savan,88.244875,Lvsong,Apocyceae,Lias,D,HDS,NO,24.3,734,0.141625,NA,46.21592542,0.251451746,0.32632604,54.7686817,0.186221799,0.386716199
Lannea coromandelica,Yuanjiang_savan,75.732125,Lvsong,Acardiaceae,Trees,D,HDS,NO,24.3,734,0.199666667,NA,93.18507896,0.423930613,0.466703233,95.08477695,0.394752821,0.47621758
Bridelia stipularis,Yuanjiang_savan,41.1035625,Lvsong,Phyllanthaceae,Lias,D,HDS,NO,24.3,734,0.128833333,NA,73.00932572,0.638947323,0.566695932,82.76436671,0.409724046,0.642414232
Salix myrtillacea,Yuanjiang_savan,16.576875,Lvsong,Salicaceae,Trees,E,HDS,NO,24.3,734,0.145583333,NA,68.32855097,0.401460231,0.469343225,94.98089937,0.364537886,0.652416025
Cissus repanda,Yuanjiang_savan,76.135625,Lvsong,Vitaceae,Lias,D,HDS,NO,24.3,734,0.167416667,NA,72.63271166,0.405962842,0.433843971,66.81032913,0.253982755,0.399066176
Strophioblachia fimbricalyx,Yuanjiang_savan,76.420875,Lvsong,Euphorbiaceae,Trees,D,HDS,NO,24.3,734,0.160083333,NA,62.94835011,0.358098267,0.393222386,57.36769701,0.340915564,0.35836146
Clausena excavata,Yuanjiang_savan,26.429000000000002,Lvsong,Rutaceae,Trees,E,HDS,NO,24.3,734,0.14825,NA,88.93472028,0.482695147,0.599896933,125.6629542,0.403438348,0.847642187
Olea europaea,Yuanjiang_savan,17.627375,Lvsong,Oleaceae,Trees,E,HDS,NO,24.3,734,0.308416667,NA,239.3651364,0.574450907,0.776109601,178.3739213,0.464591017,0.578353703
Falconeria insignis,Yuanjiang_savan,91.452875,Lvsong,Euphorbiaceae,Trees,D,HDS,NO,24.3,734,0.128458334,NA,44.33285512,0.272980728,0.345114667,55.91057806,0.227262162,0.435242902
Ficus tinctoria,Yuanjiang_savan,43.821625,Lvsong,Moraceae,Trees,E,HDS,NO,24.3,734,0.208125,NA,72.68651367,0.355190046,0.34924451,79.27811679,0.291714387,0.380915876
Bombax ceiba,Yuanjiang_savan,54.85825,Lvsong,Malvaceae,Trees,D,HDS,NO,24.3,734,0.142483333,NA,53.96341467,0.351344309,0.378734927,53.46278927,0.204670397,0.375221355
Pistacia weinmanniifolia,Yuanjiang_savan,23.702008928571427,Lvsong,Acardiaceae,Trees,E,HDS,NO,24.3,734,0.218416667,NA,207.7295554,0.656609595,0.951070073,170.799104,0.543931987,0.781987503
Terminalia franchetii,Yuanjiang_savan,61.352875,Lvsong,Combretaceae,Trees,D,HDS,NO,24.3,734,0.129291667,NA,103.9992827,0.727230608,0.804377305,82.71583513,0.432970304,0.639761533
Cipadessa cinerascens,Yuanjiang_savan,68.554875,Lvsong,Meliaceae,Trees,D,HDS,NO,24.3,734,0.081416667,NA,38.95265425,0.386602609,0.478435874,39.82838656,0.343485808,0.489192054
Argyreia osyrensis,Yuanjiang_savan,96.88225,Lvsong,Convolvulaceae,Lias,D,HDS,NO,24.3,734,0.163958333,NA,73.92395987,0.269979788,0.450870404,48.0860165,0.135690172,0.293281931
Trema angustifolia,Yuanjiang_savan,29.6155,Lvsong,Canbaceae,Trees,D,HDS,NO,24.3,734,0.103416667,NA,68.86657106,0.473718499,0.665913658,89.77354264,0.309488851,0.868076155
Psidium guajava,Yuanjiang_savan,41.7758125,Lvsong,Myrtaceae,Trees,E,HDS,NO,24.3,734,0.15675,NA,94.09971311,0.498545718,0.600317149,103.7438927,0.406506472,0.661843016
Vitex negundo,Yuanjiang_savan,43.56875,Lvsong,Lamiaceae,Lias,E,HDS,NO,24.3,734,0.167583334,NA,59.23601151,0.303723869,0.353471972,90.35662512,0.375696265,0.53917429
Trigonostemon tuberculatus,Yuanjiang_savan,87.22225,Lvsong,Euphorbiaceae,Trees,E,HDS,NO,24.3,734,0.177083334,NA,133.6979915,0.705957005,0.75500042,70.31248204,0.350532906,0.397058721
Tarenna depauperata,Yuanjiang_savan,54.10425,Lvsong,Rubiaceae,Trees,E,HDS,NO,24.3,734,0.266208333,NA,129.8242468,0.413068491,0.487679125,132.5706944,0.389492943,0.497996035
Bauhinia calciphila,Yuanjiang_savan,59.143,Lvsong,Leguminosae,Lias,E,HDS,NO,24.3,734,0.112791667,NA,85.22238168,0.503155907,0.755573385,85.01161913,0.415306465,0.753704785
Eriobotrya henryi,Yuanjiang_savan,41.734375,Lvsong,Rosaceae,Trees,E,HDS,NO,24.3,734,0.171083333,NA,122.0767576,0.615421505,0.713551434,125.3774907,0.425246866,0.732844565
Myriopteron extensum,Yuanjiang_savan,55.8948125,Lvsong,Apocyceae,Lias,D,HDS,NO,24.3,734,0.109666667,NA,49.98206603,0.438469706,0.455763519,40.67215744,0.219865462,0.370870735
Polyalthia cerasoides,Yuanjiang_savan,50.177875,Lvsong,Annoceae,Trees,E,HDS,NO,24.3,734,0.11825,NA,51.91893834,0.444131433,0.439060789,54.82855599,0.365872869,0.463666435
Ficus racemosa,Yuanjiang_savan,41.913125,Lvsong,Moraceae,Trees,E,HDS,NO,24.3,734,0.177166667,NA,104.6987088,0.487977952,0.590961667,108.1316923,0.343709517,0.610338808
Smilax china,Yuanjiang_savan,50.140625,Lvsong,Smilacaceae,Lias,E,HDS,NO,24.3,734,0.208,NA,78.22812056,0.309285889,0.376096733,69.64089736,0.245605521,0.334812007
Woodfordia fruticosa,Yuanjiang_savan,53.711125,Lvsong,Lythraceae,Trees,D,HDS,NO,24.3,734,0.165666667,NA,113.8450503,0.579306769,0.687193461,149.62,0.36340437,0.903138831
Callicarpa nudiflora,Yuanjiang_savan,173.50675,Lvsong,Lamiaceae,Trees,D,HDS,NO,24.3,734,0.105125,NA,41.85796272,0.478564538,0.398173248,47.44765853,0.371010977,0.451345147
Broussonetia papyrifera,Yuanjiang_savan,79.046125,Lvsong,Moraceae,Trees,D,HDS,NO,24.3,734,0.340416667,NA,97.70444769,0.42528396,0.287014289,111.1411354,0.29590089,0.326485587
Bauhinia brachycarpa,Yuanjiang_savan,33.557,Lvsong,Leguminosae,Trees,D,HDS,NO,24.3,734,0.1,NA,77.74390248,0.448948773,0.777439025,63.01005528,0.383693462,0.630100553
Acrocarpus fraxinifolius,Yuanjiang_savan,43.9511875,Lvsong,Leguminosae,Trees,D,HDS,NO,24.3,734,0.118708333,NA,90.65638456,0.445082493,0.763690149,77.50421299,0.374263888,0.652896145
Bauhinia championii,Yuanjiang_savan,50.688125,Lvsong,Leguminosae,Lias,E,HDS,NO,24.3,734,0.098875,NA,84.20014352,0.652534724,0.85158173,77.35590779,0.464244464,0.782360635
