no,Species,APG.family,Growthform,EveDec,LA mean (leaf let),Scanned leaf DW,Lamina DW,petiole DW,Lamina thickness,Whole leaf LMA,LD LMA,TD
50,Quercus_salicina,Fagaceae,W,E,17.41875,1.9825,1.8699,0.1126,0.292,142.2676713,103.7690229,0.355373366
,,,,,,,,,,,,
51,Myrica_rubra,Primulaceae,W,E,8.886,0.6843,0.646,0.0383,0.259,128.3479631,106.315502,0.410484564
,,,,,,,,,,,,
53,Symplocos_kuroki,Symplocaceae,W,E,11.9843,1.9798,1.868,0.1118,0.3625,165.1994693,126.0507149,0.34772611
,,,,,,,,,,,,
54,Lagerstroemia_subcostata,Lythraceae,W,D,16.886,0.9747,0.9365,0.0382,0.1685,72.15296695,64.93521678,0.385372206
,,,,,,,,,,,,
55,Cornus_macrophylla,Cornaceae,W,D,78.91766667,2.58935,2.5639,0.2534,0.222,109.3692583,91.03662745,0.410074898
,,,,,,,,,,,,
56,Anodendron_affine,Apocynaceae,W,E,19.8865,1.46,1.4054,0.0546,0.3905,122.3610657,99.31268449,0.254321855
,,,,,,,,,,,,
57,Scurrula_yadoriki,Loranthaceae,W,E,9.082,1.4321,1.3509,0.0812,0.5295,197.1069148,206.2648062,0.389546376
,,,,,,,,,,,,
58,Cleyera_japonica,Theaceae,W,E,6.49,1.069,1.0163,0.0527,0.5255,205.8936826,214.5408633,0.408260444
,,,,,,,,,,,,
59,Camellia_sasanqua,Theaceae,W,E,4.82,0.9926,0.954,0.0386,0.375,171.6113416,174.4338176,0.465156847
,,,,,,,,,,,,
60,Neolitsea_aciculata,Lauraceae,W,E,6.6367,1.0705,1.0058,0.0647,0.3475,161.3000437,147.0591674,0.423191849
,,,,,,,,,,,,
61,Ardisia_sieboldii,Primulaceae,W,E,11.914125,1.0588,1.0105,0.0483,0.305,111.0866304,110.1352206,0.361099084
,,,,,,,,,,,,
62,Parthenocissus_tricuspidata,Vitaceae,W,D,49.8985,1.8641,1.6788,0.1853,0.24,93.39459102,78.304232,0.326267633
,,,,,,,,,,,,
63,Ardisia_sieboldii,Primulaceae,W,E,6.4455,0.7339,0.696,0.0379,0.255,113.8623846,116.5014183,0.456868307
,,,,,,,,,,,,
64,Schefflera_heptaphylla,Araliaceae,W,E,20.79725,2.2068,2.0498,0.157,0.3475,132.6377285,123.5042358,0.355407873
,,,,,,,,,,,,
65,Actinodaphne_acuminata,Lauraceae,W,E,32.9665,1.7365,1.6196,0.1169,0.2745,131.6867123,97.40282517,0.35483725
,,,,,,,,,,,,
66,Elaeocarpus_sylvestris_var_ellipticus,Elaeocarpaceae,W,E,9.9476,1.4348,1.3666,0.0682,0.315,144.2357956,150.8788861,0.478980591
,,,,,,,,,,,,
67,Vernicia_cordata,Euphorbiaceae,W,D,89.39166667,1.9141,1.6196,0.2945,0.234,71.37503496,77.03099246,0.329192275
,,,,,,,,,,,,
68,Camellia_japonica,Theaceae,W,E,8.863,1.0904,1.027,0.0634,0.4995,205.0472,192.2591713,0.384903246
,,,,,,,,,,,,
69,Prunus_zippeliana,Rosaceae,W,E,27.258,2.0037,1.9118,0.0919,0.3385,122.5144912,122.2309963,0.361096001
,,,,,,,,,,,,
70,Diospyros_morrisiana,Ebenaceae,W,E,15.59275,1.6349,1.5617,0.0732,0.355,131.062513,119.6845172,0.337139485
,,,,,,,,,,,,
71,Syzygium_buxifolium,Myrtaceae,W,E,3.046,0.5742,0.5445,0.0297,2.89,125.6730138,140.6929697,0.048682688
,,,,,,,,,,,,
72,Diospyros_japonica,Ebenaceae,W,D,51.92675,2.6033,2.4336,0.1697,0.23,125.3352078,119.6845172,0.520367466
,,,,,,,,,,,,
73,Helicia_cochinchinensis,Proteaceae,W,E,19.602375,1.582,1.5168,0.0652,0.2695,100.8806331,92.30986699,0.342522698
