Species,Family,Growth_form,Leaf_habit,Leaf_type,Location,Biomes,Data contributor,ID,Rep,Leaf_area_leaf,Dry_mass_leaf,LTleaf,LMAleaf,LDleaf,Leaf_area_disc,Dry_mass_disc,LTdisc,LMAdisc,LDdisc
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_underground,STF,Chen Yajun,108,1,32.937,0.2754,0.289333333,83.61417251,0.288989075,0.889,0.0055,0.183333333,61.86726659,0.337457818
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_underground,STF,Chen Yajun,108,2,28.279,0.2455,0.288333333,86.81353655,0.30108741,0.889,0.0054,0.196666667,60.7424072,0.308859698
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_underground,STF,Chen Yajun,108,3,53.877,0.3944,0.173333333,73.20377898,0.422329494,0.889,0.0058,0.158,65.24184477,0.412923068
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_underground,STF,Chen Yajun,108,4,43.607,0.2992,0.156666667,68.61283739,0.437954281,0.889,0.0053,0.147333333,59.61754781,0.40464399
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_underground,STF,Chen Yajun,108,5,35.058,0.3464,0.204333333,98.80769011,0.483561289,0.889,0.0077,0.197666667,86.61417323,0.438183001
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_underground,STF,Chen Yajun,108,6,28.229,0.256,0.19,90.68688228,0.47729938,0.889,0.0059,0.179666667,66.36670416,0.369387964
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,109,1,23.31,0.1603,0.204333333,68.76876877,0.336551886,0.889,0.0067,0.218,75.3655793,0.345713667
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,109,2,24.738,0.1853,0.197,74.90500445,0.380228449,0.889,0.0086,0.247333333,96.73790776,0.391123616
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,109,3,25.124,0.2091,0.222666667,83.22719312,0.373774819,0.889,0.0092,0.248333333,103.4870641,0.416726433
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,109,4,23.973,0.2483,0.279,103.574855,0.37123604,0.889,0.0071,0.279666667,79.86501687,0.28557217
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,109,5,23.541,0.1891,0.209,80.32793849,0.384344203,0.889,0.0063,0.201,70.86614173,0.352567869
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,109,6,22.826,0.1745,0.215,76.44791028,0.355571676,0.889,0.0094,0.269,105.7367829,0.393073542
Rubus paniculatus,Rosaceae,L,D,single,Ailao_underground,STF,Chen Yajun,110,1,64.797,0.6213,0.340333333,95.88406871,0.281735755,0.889,0.0078,0.325,87.73903262,0.269966254
Rubus paniculatus,Rosaceae,L,D,single,Ailao_underground,STF,Chen Yajun,110,2,51.693,0.4535,0.280333333,87.72947981,0.312947015,0.889,0.0067,0.285666667,75.3655793,0.263823498
Rubus paniculatus,Rosaceae,L,D,single,Ailao_underground,STF,Chen Yajun,110,3,45.641,0.3794,0.325333333,83.12701299,0.25551336,0.889,0.0074,0.315333333,83.23959505,0.263973346
Rubus paniculatus,Rosaceae,L,D,single,Ailao_underground,STF,Chen Yajun,110,4,63.214,0.5687,0.330333333,89.96424843,0.27234384,0.889,0.0059,0.277666667,66.36670416,0.239015741
Rubus paniculatus,Rosaceae,L,D,single,Ailao_underground,STF,Chen Yajun,110,5,43.558,0.3993,0.330333333,91.67087561,0.277510219,0.889,0.0056,0.267,62.99212598,0.235925565
Rubus paniculatus,Rosaceae,L,D,single,Ailao_underground,STF,Chen Yajun,110,6,61.302,0.3856,0.266333333,62.90169978,0.236176595,0.889,0.0063,0.333666667,70.86614173,0.212386039
Gamblea ciliata var. evodiifolia,Araliaceae,S,D,compound,Ailao_underground,STF,Chen Yajun,111,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gamblea ciliata var. evodiifolia,Araliaceae,S,D,compound,Ailao_underground,STF,Chen Yajun,111,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gamblea ciliata var. evodiifolia,Araliaceae,S,D,compound,Ailao_underground,STF,Chen Yajun,111,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gamblea ciliata var. evodiifolia,Araliaceae,S,D,compound,Ailao_underground,STF,Chen Yajun,111,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gamblea ciliata var. evodiifolia,Araliaceae,S,D,compound,Ailao_underground,STF,Chen Yajun,111,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gamblea ciliata var. evodiifolia,Araliaceae,S,D,compound,Ailao_underground,STF,Chen Yajun,111,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhododendron leptothrium,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,112,1,7.869,0.0648,0.196333333,82.34845597,0.419431864,0.889,0.0096,0.242333333,107.9865017,0.445611424
