Species,Family,Growthform,EveDec,LeafType,Location,Garden,MAT,MAP,Biomes,Contributor,LMAdisc,LMAleaf,LDdisc,LDleaf,LDMCdisc,LDMCleaf,LTleaf,LTdisc,LAleaf
Sorbus globosa,Rosaceae,T,D,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,60.221761786171385,81.73379145333334,0.3435624225,0.4669495321666667,0.40015936150000003,0.42325149283333335,0.17438888916666667,0.16283333333333333,55.351166666666664
Ilex corallina,Aquifoliaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,89.23950838575865,111.60883595,0.255381842,0.3397236101666667,0.3440072986666667,0.3606625998333333,0.3285555555,0.32944444433333336,8.400333333333334
Rubus wallichianus,Rosaceae,L,E,C,Ailao_understory,NO,NA,NA,STF,Chen Yajun,64.79305063286557,69.31125575666667,0.24810527683333333,0.2609974685,0.4522309373333333,0.3436997583333333,0.26366666666666666,0.24172222216666667,124.70933333333333
Ilex gintungensis,Aquifoliaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,141.90870600149765,134.2572649,0.3469108873333333,0.3836923715,0.4831541993333333,0.44121571383333336,0.34772222216666665,0.384111111,37.61966666666667
Neolitsea chui,Lauraceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,71.35185636558569,99.96180688833334,0.30150756366666664,0.43053258833333335,0.41892687166666664,0.4585766121666667,0.2321666666666667,0.2219444445,43.712833333333336
Rhododendron decorum,Ericaceae,S,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,83.8732127828872,112.01144791333334,0.27343893216666665,0.33788083016666665,0.344117624,0.32198509433333333,0.33261111116666664,0.28761111100000003,88.929
Manglietia insignis,Magnoliaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,83.6744610942846,84.76476250166667,0.25490658683333334,0.281970864,0.3366320268333333,0.3181335465,0.30038888883333337,0.31066666666666665,53.81733333333333
Eurya obliquifolia,Pentaphylacaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,83.6744610942846,79.25891739,0.335658984,0.35691512616666665,0.41057347483333334,0.35850552983333334,0.22233333333333333,0.23494444450000002,20.64666666666667
Lithocarpus xylocarpus,Fagaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,99.97209959503537,120.36740365,0.4104691733333333,0.44903329183333335,0.4386321421666667,0.45630473316666664,0.2709444445,0.22994444433333333,35.854
Litsea elongata,Lauraceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,69.16558779095716,84.61621190333334,0.34144054166666665,0.45296199016666666,0.43153087566666665,0.4220013378333333,0.1865555555,0.1909444445,23.675166666666666
Hartia sinensis,Theaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,96.79207257916077,113.094611805,0.32518444333333335,0.378791503,0.3690237626666667,0.360516737,0.2984444445,0.2801666666666667,29.3465
Acer campbellii,Sapindaceae,T,D,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,68.56933272514938,91.98132335666666,0.404352805,0.520015093,0.423959764,0.44308761816666664,0.17772222216666667,0.15994444466666669,68.748
Clethra delavayi,Clethraceae,T,D,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,86.85448812076062,93.00201916666667,0.2718713523333333,0.36374923383333335,0.345206151,0.3382798558333333,0.25527777766666665,0.3031666666666667,33.85466666666667
Eriobotrya bengalensis,Rosaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,125.41231579624214,123.5567003,0.36531584316666665,0.437068538,0.45471510866666665,0.41646493233333337,0.2827777776666667,0.31988888883333333,31.256666666666668
Machilus salicina,Lauraceae,S,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,98.38208608798153,108.17475245166666,0.43224129733333333,0.4340384025,0.4701955288333333,0.43036322433333335,0.24933333333333335,0.215611111,30.701833333333333
Neolitsea polycarpa,Lauraceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,77.31440704486636,81.13182009333333,0.4614800611666667,0.4864340478333333,0.4969865978333333,0.4756831871666667,0.16711111116666666,0.15883333333333333,19.161
Meliosma kirkii,Sabiaceae,T,D,C,Ailao_understory,NO,NA,NA,STF,Chen Yajun,71.74935974809159,54.318034456666666,0.2582144871666667,0.21136007366666668,0.3588118835,0.25653143566666664,0.25716666666666665,0.26188888883333333,44.7025
Symplocos anomala,Symplocaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,38.359075986878935,54.92718721333333,0.15187484233333334,0.22787904616666668,0.21112709233333332,0.35377004683333335,0.2443333335,0.23427777783333334,22.031
Machilus yunnanensis,Lauraceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,100.56835466261006,122.81609592166666,0.43134169083333335,0.5526882926666666,0.4716061306666667,0.52789455,0.22072222233333333,0.21794444433333332,30.10066666666667
Castanopsis wattii,Fagaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,88.44450163134827,91.00316283333333,0.41567548416666666,0.501468503,0.4878535628333333,0.4582599176666667,0.18127777766666667,0.20083333316666668,25.499333333333333
Cerasus cerasoides,Rosaceae,T,D,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,34.185290517389944,51.52536856166667,0.156852394,0.2959487955,0.22320936866666666,0.32046483566666667,0.17311111116666666,0.20350000000000001,45.740833333333335
