species,family,growth_form,leaf_habit,leaf_type,location,biomes,data_contributor,lma_disc,lma_leaf,ld_disc,ld_leaf,lt,lt_disc,la,lma_ratio,ld_ratio
Acer campbellii,Sapindaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,68.56933272514938,91.98132335666666,0.404352805,0.520015093,0.17772222216666667,0.15994444466666669,68.748,1.3414352991498544,1.2860429965361562
Actinidia callosa,Actinidiaceae,liana,deciduous,single,Ailao_understory,STF,Chen Yajun,68.17182934617729,74.35582343,0.1984203505,0.23721939466666667,0.31905555566666666,0.3438333333333333,75.8665,1.0907118694500675,1.1955396413165122
Betula alnoides,Betulaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,38.756579365851024,61.18345557333333,0.2383916185,0.34289213083333336,0.17766666650000001,0.15672222216666667,57.66166666666667,1.5786598449718436,1.4383564866536336
Camellia forrestii,Theaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,123.62355057938287,129.36884351666666,0.3758778568333333,0.40702795766666666,0.3178333331666667,0.31022222233333335,9.991166666666667,1.0464740974543887,1.0828729340317207
Castanopsis wattii,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,88.44450163134827,91.00316283333333,0.41567548416666666,0.501468503,0.18127777766666667,0.20083333316666668,25.499333333333333,1.0289295677491632,1.2063942236221328
Cerasus cerasoides,Rosaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,34.18529051738994,51.52536856166667,0.156852394,0.2959487955,0.17311111116666666,0.20350000000000001,45.740833333333335,1.507237989844079,1.8867980778157583
Clethra delavayi,Clethraceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,86.85448812076062,93.00201916666667,0.2718713523333333,0.36374923383333335,0.25527777766666665,0.3031666666666667,33.85466666666667,1.0707796589320595,1.3379461672274735
Cyclobalanopsis stewardiana,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,110.30718742357311,132.7376243,0.3895591725,0.4592826881666667,0.2913333335,0.2679444445,33.518166666666666,1.203345198081203,1.1789805518355922
Eriobotrya bengalensis,Rosaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,125.41231579624213,123.5567003,0.36531584316666665,0.437068538,0.2827777776666667,0.31988888883333333,31.256666666666668,0.9852038814173805,1.1964127649415903
Eurya obliquifolia,Pentaphylacaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,83.6744610942846,79.25891739,0.335658984,0.35691512616666665,0.22233333333333333,0.23494444450000002,20.64666666666667,0.9472294933658533,1.0633265998525059
Hartia sinensis,Theaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,96.79207257916077,113.094611805,0.32518444333333335,0.378791503,0.2984444445,0.2801666666666667,29.3465,1.1684284548458894,1.1648512429351248
Ilex corallina,Aquifoliaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,89.23950838575865,111.60883595,0.255381842,0.3397236101666667,0.3285555555,0.32944444433333336,8.400333333333334,1.2506661899967522,1.3302574979730417
Ilex gintungensis,Aquifoliaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,141.90870600149765,134.2572649,0.3469108873333333,0.3836923715,0.34772222216666665,0.384111111,37.61966666666667,0.9460819472103642,1.1060257417961195
Ilex polyneura,Aquifoliaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,78.70566886685143,96.71189202833334,0.34348818366666667,0.4282776245,0.22633333333333333,0.21638888883333335,32.100833333333334,1.2287792406915892,1.2468482028354608
Ilex szechwanensis,Aquifoliaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,94.60580399393082,101.1634161,0.2897810165,0.362264241,0.2793333333333333,0.3076111111666667,13.466000000000001,1.069315114181471,1.2501310312713325
Illicium burmanicum,Schisandraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,96.59332087465606,89.02710872,0.25839243283333335,0.251110864,0.352888889,0.3525,51.97083333333333,0.9216694064750676,0.9718197287997591
Laurocerasus undulata,Rosaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,71.1531046840507,86.346687275,0.32868534,0.4235826243333333,0.20377777766666666,0.20244444433333333,21.918833333333332,1.2135336561688361,1.2887177272139163
Lithocarpus hancei,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,97.18957595283216,116.84972948333333,0.31995755416666666,0.4036759105,0.2895555556666667,0.2855,25.933666666666667,1.2022866479018552,1.2616545702487907
Lithocarpus pachyphyllus,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,132.76612828337264,138.37018118333333,0.36289660983333333,0.47067986316666666,0.2941666666666667,0.3450555555,67.283,1.0422099595161767,1.2970081571796295
Lithocarpus xylocarpus,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,99.97209959503537,120.36740365,0.4104691733333333,0.44903329183333335,0.2709444445,0.22994444433333333,35.854,1.2040099601546976,1.0939513147524063
Litsea cubeba,Lauraceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,63.998043874921386,63.197959491666666,0.2988203973333333,0.30993416683333336,0.2034444445,0.20155555549999998,26.068,0.9874982994039878,1.0371921381511404
Litsea elongata,Lauraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,69.16558779095716,84.61621190333334,0.34144054166666665,0.45296199016666666,0.1865555555,0.1909444445,23.675166666666666,1.2233860017075748,1.32662040645681
